ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,348814,Antenatal care provider: Doctor,29.4,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1989,DHS,3559,3492,,,
KEN,760411,Antenatal care provider: Doctor,30.1,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWDOC,,1989,DHS,4237,4201,,,
KEN,814760,Antenatal care provider: Doctor,29.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWDOC,,1989,DHS,2701,2658,,,
KEN,348815,Antenatal care provider: Nurse/midwife,48.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1989,DHS,3559,3492,,,
KEN,760408,Antenatal care provider: Nurse/midwife,47.9,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNRS,,1989,DHS,4237,4201,,,
KEN,814761,Antenatal care provider: Nurse/midwife,48.1,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNRS,,1989,DHS,2701,2658,,,
KEN,348818,Antenatal care provider: Traditional birth attendant,2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1989,DHS,3559,3492,,,
KEN,760415,Antenatal care provider: Traditional birth attendant,2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTBA,,1989,DHS,4237,4201,,,
KEN,814767,Antenatal care provider: Traditional birth attendant,1.7,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTBA,,1989,DHS,2701,2658,,,
KEN,348816,Antenatal care provider: Other,0.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOTH,,1989,DHS,3559,3492,,,
KEN,760412,Antenatal care provider: Other,0.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOTH,,1989,DHS,4237,4201,,,
KEN,814762,Antenatal care provider: Other,0.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOTH,,1989,DHS,2701,2658,,,
KEN,348820,Antenatal care provider: Missing ,0.3,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1989,DHS,3559,3492,,,
KEN,760409,Antenatal care provider: Missing ,0.3,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWMIS,,1989,DHS,4237,4201,,,
KEN,814765,Antenatal care provider: Missing ,0.2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWMIS,,1989,DHS,2701,2658,,,
KEN,348817,No antenatal care,19.1,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1989,DHS,3559,3492,,,
KEN,760413,No antenatal care,19.2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNON,,1989,DHS,4237,4201,,,
KEN,814763,No antenatal care,19.8,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNON,,1989,DHS,2701,2658,,,
KEN,348827,Antenatal care: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1989,DHS,3559,3492,,,
KEN,760410,Antenatal care: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTOT,,1989,DHS,4237,4201,,,
KEN,814766,Antenatal care: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTOT,,1989,DHS,2701,2658,,,
KEN,348819,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,3559,3492,,,
KEN,760414,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,4237,4201,,,
KEN,814764,Antenatal care from a skilled provider,77.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1989,DHS,2701,2658,,,
KEN,46762,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3559,0,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNUM,,1989,DHS,,3492,,,
