ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,13162,Deaths of adult women,529,0,KE,Kenya,1998,KE1998DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,1998,DHS,,,,,
KEN,547721,Years of exposure to the risk of mortality for women,113302,0,KE,Kenya,1998,KE1998DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,1998,DHS,,112713,,,
KEN,213936,Years of exposure to the risk of mortality for women (unweighted),112713,0,KE,Kenya,1998,KE1998DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,1998,DHS,113302,,,,
KEN,523438,Adult female mortality rate,4.65,2,KE,Kenya,1998,KE1998DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,1998,DHS,113302,112713,,,
KEN,13160,Deaths of adult men,500,0,KE,Kenya,1998,KE1998DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,1998,DHS,,,,,
KEN,13161,Years of exposure to the risk of mortality for men,110927,0,KE,Kenya,1998,KE1998DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,1998,DHS,,111128,,,
KEN,369055,Years of exposure to the risk of mortality for men (unweighted),111128,0,KE,Kenya,1998,KE1998DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,1998,DHS,110927,,,,
KEN,369054,Adult male mortality rate,4.68,2,KE,Kenya,1998,KE1998DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,1998,DHS,110927,111128,,,
KEN,13192,Probability of dying between exact age 15 and 50 (35q15) for women,169,0,KE,Kenya,1998,KE1998DHS,MM_AMPB_W_AMP,76963010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBWAMP,,1998,DHS,,,,,
KEN,13174,Probability of dying between exact age 15 and 50 (35q15) for men,184,0,KE,Kenya,1998,KE1998DHS,MM_AMPB_M_AMP,76964020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBMAMP,,1998,DHS,,,,,
KEN,13187,Deaths of adult women,759,0,KE,Kenya,2003,KE2003DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,2003,DHS,,,,,
KEN,609538,Years of exposure to the risk of mortality for women,115971,0,KE,Kenya,2003,KE2003DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,2003,DHS,,115690,,,
KEN,317427,Years of exposure to the risk of mortality for women (unweighted),115690,0,KE,Kenya,2003,KE2003DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,2003,DHS,115971,,,,
KEN,595383,Adult female mortality rate,6.57,2,KE,Kenya,2003,KE2003DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,2003,DHS,115971,115690,,,
KEN,13186,Deaths of adult men,701,0,KE,Kenya,2003,KE2003DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,2003,DHS,,,,,
KEN,473790,Years of exposure to the risk of mortality for men,116446,0,KE,Kenya,2003,KE2003DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,2003,DHS,,116586,,,
KEN,339087,Years of exposure to the risk of mortality for men (unweighted),116586,0,KE,Kenya,2003,KE2003DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,2003,DHS,116446,,,,
KEN,460474,Adult male mortality rate,6.19,2,KE,Kenya,2003,KE2003DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,2003,DHS,116446,116586,,,
