ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,490528,Children with any anemia,36.3,1,KE,Kenya,2015,KE2015MIS,CN_ANMC_C_ANY,104466010,I,1000,0,Total,Total,0,,1,1,CNANMCCANY,,2015,MIS,3077,3426,,,
KEN,490526,Children with mild anemia,20.1,1,KE,Kenya,2015,KE2015MIS,CN_ANMC_C_MLD,104466020,I,1000,0,Total,Total,0,,1,1,CNANMCCMLD,,2015,MIS,3077,3426,,,
KEN,490534,Children with moderate anemia,15.5,1,KE,Kenya,2015,KE2015MIS,CN_ANMC_C_MOD,104466030,I,1000,0,Total,Total,0,,1,1,CNANMCCMOD,,2015,MIS,3077,3426,,,
KEN,490524,Children with severe anemia,0.7,1,KE,Kenya,2015,KE2015MIS,CN_ANMC_C_SEV,104466040,I,1000,0,Total,Total,0,,1,1,CNANMCCSEV,,2015,MIS,3077,3426,,,
KEN,490525,Number of children under age 5,3077,0,KE,Kenya,2015,KE2015MIS,CN_ANMC_C_NUM,104466050,D,1000,0,Total,Total,0,,1,1,CNANMCCNUM,,2015,MIS,,3426,,,
KEN,44149,Number of children under age 5 (unweighted),3426,0,KE,Kenya,2015,KE2015MIS,CN_ANMC_C_UNW,104466060,U,1000,0,Total,Total,0,,1,1,CNANMCCUNW,,2015,MIS,3077,,,,
KEN,198840,Children with hemoglobin lower than 8.0 g/dl,2.2,1,KE,Kenya,2015,KE2015MIS,ML_HEMO_C_HL8,125106010,I,1000,0,Total,Total,0,,1,1,MLHEMOCHL8,,2015,MIS,3077,3426,,,
KEN,171832,Number of children age 6-59 months,3077,0,KE,Kenya,2015,KE2015MIS,ML_HEMO_C_NUM,125106020,D,1000,0,Total,Total,0,,1,1,MLHEMOCNUM,,2015,MIS,,3426,,,
KEN,198832,Number of children age 6-59 months (unweighted),3426,0,KE,Kenya,2015,KE2015MIS,ML_HEMO_C_UNW,125106030,U,1000,0,Total,Total,0,,1,1,MLHEMOCUNW,,2015,MIS,3077,,,,
KEN,408910,Children with any anemia,45.5,1,KE,Kenya,2020,KE2020MIS,CN_ANMC_C_ANY,104466010,I,1000,0,Total,Total,0,,1,1,CNANMCCANY,,2020,MIS,3401,3736,,,
KEN,408909,Children with mild anemia,24.3,1,KE,Kenya,2020,KE2020MIS,CN_ANMC_C_MLD,104466020,I,1000,0,Total,Total,0,,1,1,CNANMCCMLD,,2020,MIS,3401,3736,,,
KEN,408913,Children with moderate anemia,19.9,1,KE,Kenya,2020,KE2020MIS,CN_ANMC_C_MOD,104466030,I,1000,0,Total,Total,0,,1,1,CNANMCCMOD,,2020,MIS,3401,3736,,,
KEN,408911,Children with severe anemia,1.4,1,KE,Kenya,2020,KE2020MIS,CN_ANMC_C_SEV,104466040,I,1000,0,Total,Total,0,,1,1,CNANMCCSEV,,2020,MIS,3401,3736,,,
KEN,408912,Number of children under age 5,3401,0,KE,Kenya,2020,KE2020MIS,CN_ANMC_C_NUM,104466050,D,1000,0,Total,Total,0,,1,1,CNANMCCNUM,,2020,MIS,,3736,,,
KEN,174767,Number of children under age 5 (unweighted),3736,0,KE,Kenya,2020,KE2020MIS,CN_ANMC_C_UNW,104466060,U,1000,0,Total,Total,0,,1,1,CNANMCCUNW,,2020,MIS,3401,,,,
KEN,333363,Children with hemoglobin lower than 8.0 g/dl,3.5,1,KE,Kenya,2020,KE2020MIS,ML_HEMO_C_HL8,125106010,I,1000,0,Total,Total,0,,1,1,MLHEMOCHL8,,2020,MIS,3401,3736,,,
KEN,171834,Number of children age 6-59 months,3401,0,KE,Kenya,2020,KE2020MIS,ML_HEMO_C_NUM,125106020,D,1000,0,Total,Total,0,,1,1,MLHEMOCNUM,,2020,MIS,,3736,,,
KEN,333364,Number of children age 6-59 months (unweighted),3736,0,KE,Kenya,2020,KE2020MIS,ML_HEMO_C_UNW,125106030,U,1000,0,Total,Total,0,,1,1,MLHEMOCUNW,,2020,MIS,3401,,,,
