ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,622313,Children severely stunted,16.8,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA3,104236010,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA3,,1993,DHS,4757,4829,,,
KEN,622315,Children stunted,39.9,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1993,DHS,4757,4829,,,
KEN,622312,Mean height for age of children,-1.6,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HAM,104236030,I,1000,0,Total,Total,0,,1,1,CNNUTSCHAM,,1993,DHS,4757,4829,,,
KEN,720920,Children severely wasted,2.5,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WH3,104236040,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH3,,1993,DHS,4757,4829,,,
KEN,720922,Children wasted,6.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1993,DHS,4757,4829,,,
KEN,720923,Children overweight,5.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1993,DHS,4757,4829,,,
KEN,720924,Mean weight for height of children,0,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WHM,104236070,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHM,,1993,DHS,4757,4829,,,
KEN,272671,Children severely underweight,5.8,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WA3,104236080,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA3,,1993,DHS,4757,4829,,,
KEN,272670,Children underweight,18.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WA2,104236090,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA2,,1993,DHS,4757,4829,,,
KEN,272672,Children overweight for their age,1.3,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WAP,104236100,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAP,,1993,DHS,4757,4829,,,
KEN,272673,Mean weight for age of children,-0.9,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WAM,104236110,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAM,,1993,DHS,4757,4829,,,
KEN,444173,Women with height below 145 cm,0.8,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_SHT,114563010,I,1000,0,Total,Total,0,,1,1,ANNUTSWSHT,,1993,DHS,3815,3792,,,
KEN,449185,Number of women,3815,0,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_NM1,114563020,D,1000,0,Total,Total,0,,1,1,ANNUTSWNM1,,1993,DHS,,3792,,,
KEN,235609,Number of women (unweighted),3792,0,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_UN1,114563030,U,1000,0,Total,Total,0,,1,1,ANNUTSWUN1,,1993,DHS,3815,,,,
KEN,480072,Mean Body Mass Index (BMI) for women,22,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_BMI,114563040,I,1000,0,Total,Total,0,,1,1,ANNUTSWBMI,,1993,DHS,3242,3226,,,
KEN,480073,Women with normal BMI (18.5-24.9),75.7,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_NRM,114563050,I,1000,0,Total,Total,0,,1,1,ANNUTSWNRM,,1993,DHS,3242,3226,,,
KEN,480074,Women who are thin according to BMI (<18.5),10,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,1993,DHS,3242,3226,,,
KEN,480075,Women who are mildly thin according to BMI (17.0-18.4),7.9,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_TH1,114563070,I,1000,0,Total,Total,0,,1,1,ANNUTSWTH1,,1993,DHS,3242,3226,,,
KEN,480076,Women who are moderately thin according to BMI (<17.0),2.1,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_TH2,114563080,I,1000,0,Total,Total,0,,1,1,ANNUTSWTH2,,1993,DHS,3242,3226,,,
KEN,480078,Women who are overweight or obese according to BMI (>=25.0),14.3,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,1993,DHS,3242,3226,,,
KEN,480077,Women who are overweight according to BMI (25.0-29.9),11.7,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_OVW,114563100,I,1000,0,Total,Total,0,,1,1,ANNUTSWOVW,,1993,DHS,3242,3226,,,
KEN,480079,Women who are obese according to BMI (>=30.0),2.6,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_OBS,114563110,I,1000,0,Total,Total,0,,1,1,ANNUTSWOBS,,1993,DHS,3242,3226,,,
KEN,487735,Number of women,3242,0,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_NUM,114563120,D,1000,0,Total,Total,0,,1,1,ANNUTSWNUM,,1993,DHS,,3226,,,
KEN,268695,Number of women (unweighted),3226,0,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_UNW,114563130,U,1000,0,Total,Total,0,,1,1,ANNUTSWUNW,,1993,DHS,3242,,,,
KEN,620255,Children severely stunted,17.4,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_HA3,104236010,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA3,,1998,DHS,4433,4539,,,
KEN,620256,Children stunted,37.7,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1998,DHS,4433,4539,,,
KEN,620257,Mean height for age of children,-1.5,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_HAM,104236030,I,1000,0,Total,Total,0,,1,1,CNNUTSCHAM,,1998,DHS,4433,4539,,,
KEN,53402,Children severely wasted,2.7,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WH3,104236040,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH3,,1998,DHS,4433,4539,,,
KEN,53403,Children wasted,6.9,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1998,DHS,4433,4539,,,
KEN,53404,Children overweight,6.3,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1998,DHS,4433,4539,,,
KEN,53400,Mean weight for height of children,-0.1,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WHM,104236070,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHM,,1998,DHS,4433,4539,,,
KEN,478977,Children severely underweight,5,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WA3,104236080,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA3,,1998,DHS,4433,4539,,,
KEN,478979,Children underweight,18,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WA2,104236090,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA2,,1998,DHS,4433,4539,,,
KEN,478978,Children overweight for their age,1.4,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WAP,104236100,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAP,,1998,DHS,4433,4539,,,
KEN,478980,Mean weight for age of children,-0.9,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WAM,104236110,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAM,,1998,DHS,4433,4539,,,
KEN,264539,Women with height below 145 cm,1.1,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_SHT,114563010,I,1000,0,Total,Total,0,,1,1,ANNUTSWSHT,,1998,DHS,3656,3699,,,
KEN,53469,Number of women,3656,0,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_NM1,114563020,D,1000,0,Total,Total,0,,1,1,ANNUTSWNM1,,1998,DHS,,3699,,,
KEN,264504,Number of women (unweighted),3699,0,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_UN1,114563030,U,1000,0,Total,Total,0,,1,1,ANNUTSWUN1,,1998,DHS,3656,,,,
KEN,53457,Mean Body Mass Index (BMI) for women,21.9,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_BMI,114563040,I,1000,0,Total,Total,0,,1,1,ANNUTSWBMI,,1998,DHS,3106,3133,,,
KEN,53458,Women with normal BMI (18.5-24.9),73.2,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_NRM,114563050,I,1000,0,Total,Total,0,,1,1,ANNUTSWNRM,,1998,DHS,3106,3133,,,
KEN,53459,Women who are thin according to BMI (<18.5),11.9,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,1998,DHS,3106,3133,,,
KEN,53460,Women who are mildly thin according to BMI (17.0-18.4),9.1,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_TH1,114563070,I,1000,0,Total,Total,0,,1,1,ANNUTSWTH1,,1998,DHS,3106,3133,,,
KEN,53452,Women who are moderately thin according to BMI (<17.0),2.8,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_TH2,114563080,I,1000,0,Total,Total,0,,1,1,ANNUTSWTH2,,1998,DHS,3106,3133,,,
KEN,53455,Women who are overweight or obese according to BMI (>=25.0),15,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,1998,DHS,3106,3133,,,
KEN,53453,Women who are overweight according to BMI (25.0-29.9),12.1,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_OVW,114563100,I,1000,0,Total,Total,0,,1,1,ANNUTSWOVW,,1998,DHS,3106,3133,,,
KEN,53456,Women who are obese according to BMI (>=30.0),2.8,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_OBS,114563110,I,1000,0,Total,Total,0,,1,1,ANNUTSWOBS,,1998,DHS,3106,3133,,,
KEN,53454,Number of women,3106,0,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_NUM,114563120,D,1000,0,Total,Total,0,,1,1,ANNUTSWNUM,,1998,DHS,,3133,,,
KEN,53711,Number of women (unweighted),3133,0,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_UNW,114563130,U,1000,0,Total,Total,0,,1,1,ANNUTSWUNW,,1998,DHS,3106,,,,
KEN,551355,Children severely stunted,14.6,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_HA3,104236010,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA3,,2003,DHS,5312,5070,,,
KEN,551358,Children stunted,35.7,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2003,DHS,5312,5070,,,
KEN,551356,Mean height for age of children,-1.4,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_HAM,104236030,I,1000,0,Total,Total,0,,1,1,CNNUTSCHAM,,2003,DHS,5312,5070,,,
KEN,432884,Children severely wasted,2.2,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WH3,104236040,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH3,,2003,DHS,5312,5070,,,
KEN,432886,Children wasted,6,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2003,DHS,5312,5070,,,
KEN,432887,Children overweight,5.5,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2003,DHS,5312,5070,,,
KEN,432888,Mean weight for height of children,0,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WHM,104236070,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHM,,2003,DHS,5312,5070,,,
KEN,43933,Children severely underweight,4.2,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WA3,104236080,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA3,,2003,DHS,5312,5070,,,
KEN,43939,Children underweight,15.8,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WA2,104236090,I,1000,0,Total,Total,0,,1,1,CNNUTSCWA2,,2003,DHS,5312,5070,,,
KEN,43934,Children overweight for their age,1.3,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WAP,104236100,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAP,,2003,DHS,5312,5070,,,
KEN,43940,Mean weight for age of children,-0.8,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WAM,104236110,I,1000,0,Total,Total,0,,1,1,CNNUTSCWAM,,2003,DHS,5312,5070,,,
KEN,635917,Women with height below 145 cm,1.1,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_SHT,114563010,I,1000,0,Total,Total,0,,1,1,ANNUTSWSHT,,2003,DHS,7739,7724,,,
KEN,642100,Number of women,7739,0,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_NM1,114563020,D,1000,0,Total,Total,0,,1,1,ANNUTSWNM1,,2003,DHS,,7724,,,
KEN,196350,Number of women (unweighted),7724,0,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_UN1,114563030,U,1000,0,Total,Total,0,,1,1,ANNUTSWUN1,,2003,DHS,7739,,,,
KEN,43992,Mean Body Mass Index (BMI) for women,22.7,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_BMI,114563040,I,1000,0,Total,Total,0,,1,1,ANNUTSWBMI,,2003,DHS,7047,7011,,,
KEN,43993,Women with normal BMI (18.5-24.9),64.3,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_NRM,114563050,I,1000,0,Total,Total,0,,1,1,ANNUTSWNRM,,2003,DHS,7047,7011,,,
KEN,43997,Women who are thin according to BMI (<18.5),12.3,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,2003,DHS,7047,7011,,,
KEN,43998,Women who are mildly thin according to BMI (17.0-18.4),8.3,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_TH1,114563070,I,1000,0,Total,Total,0,,1,1,ANNUTSWTH1,,2003,DHS,7047,7011,,,
KEN,43990,Women who are moderately thin according to BMI (<17.0),4,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_TH2,114563080,I,1000,0,Total,Total,0,,1,1,ANNUTSWTH2,,2003,DHS,7047,7011,,,
KEN,44000,Women who are overweight or obese according to BMI (>=25.0),23.4,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,2003,DHS,7047,7011,,,
KEN,43991,Women who are overweight according to BMI (25.0-29.9),17.1,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_OVW,114563100,I,1000,0,Total,Total,0,,1,1,ANNUTSWOVW,,2003,DHS,7047,7011,,,
KEN,44001,Women who are obese according to BMI (>=30.0),6.3,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_OBS,114563110,I,1000,0,Total,Total,0,,1,1,ANNUTSWOBS,,2003,DHS,7047,7011,,,
KEN,43996,Number of women,7047,0,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_NUM,114563120,D,1000,0,Total,Total,0,,1,1,ANNUTSWNUM,,2003,DHS,,7011,,,
KEN,43999,Number of women (unweighted),7011,0,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_UNW,114563130,U,1000,0,Total,Total,0,,1,1,ANNUTSWUNW,,2003,DHS,7047,,,,
KEN,44011,Children severely stunted,14.2,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_HA3,104236010,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA3,,2008-09,DHS,5470,5563,,,
KEN,44010,Children stunted,35.3,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2008-09,DHS,5470,5563,,,
KEN,44009,Mean height for age of children,-1.4,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_HAM,104236030,I,1000,0,Total,Total,0,,1,1,CNNUTSCHAM,,2008-09,DHS,5470,5563,,,
KEN,746542,Children severely wasted,1.9,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_WH3,104236040,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH3,,2008-09,DHS,5470,5563,,,
KEN,746543,Children wasted,6.7,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2008-09,DHS,5470,5563,,,
