ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,433475,Children who had a birth certificate,23.9,1,KE,Kenya,2008,KE2008DHS,CP_BREG_C_CRT,220906010,I,1000,0,Total,Total,0,,1,1,CPBREGCCRT,,2008-09,DHS,5956,6099,,,
KEN,433474,Children who did not have a birth certificate but were registered,36.1,1,KE,Kenya,2008,KE2008DHS,CP_BREG_C_NCT,220906020,I,1000,0,Total,Total,0,,1,1,CPBREGCNCT,,2008-09,DHS,5956,6099,,,
KEN,433476,Children registered,60,1,KE,Kenya,2008,KE2008DHS,CP_BREG_C_REG,220906030,I,1000,0,Total,Total,0,,1,1,CPBREGCREG,,2008-09,DHS,5956,6099,,,
KEN,433477,Number of children under 5,5956,0,KE,Kenya,2008,KE2008DHS,CP_BREG_C_NUM,220906040,D,1000,0,Total,Total,0,,1,1,CPBREGCNUM,,2008-09,DHS,,6099,,,
KEN,6187,Number of children under 5 (unweighted),6099,0,KE,Kenya,2008,KE2008DHS,CP_BREG_C_UNW,220906050,U,1000,0,Total,Total,0,,1,1,CPBREGCUNW,,2008-09,DHS,5956,,,,
KEN,533285,Children who had a birth certificate,24.1,1,KE,Kenya,2014,KE2014DHS,CP_BREG_C_CRT,220906010,I,1000,0,Total,Total,0,,1,1,CPBREGCCRT,,2014,DHS,19954,21548,,,
KEN,533264,Children who did not have a birth certificate but were registered,42.8,1,KE,Kenya,2014,KE2014DHS,CP_BREG_C_NCT,220906020,I,1000,0,Total,Total,0,,1,1,CPBREGCNCT,,2014,DHS,19954,21548,,,
KEN,533286,Children registered,66.9,1,KE,Kenya,2014,KE2014DHS,CP_BREG_C_REG,220906030,I,1000,0,Total,Total,0,,1,1,CPBREGCREG,,2014,DHS,19954,21548,,,
KEN,544468,Number of children under 5,19954,0,KE,Kenya,2014,KE2014DHS,CP_BREG_C_NUM,220906040,D,1000,0,Total,Total,0,,1,1,CPBREGCNUM,,2014,DHS,,21548,,,
KEN,316831,Number of children under 5 (unweighted),21548,0,KE,Kenya,2014,KE2014DHS,CP_BREG_C_UNW,220906050,U,1000,0,Total,Total,0,,1,1,CPBREGCUNW,,2014,DHS,19954,,,,
KEN,744401,Children who had a birth certificate,33.8,1,KE,Kenya,2022,KE2022DHS,CP_BREG_C_CRT,220906010,I,1000,0,Total,Total,0,,1,1,CPBREGCCRT,,2022,DHS,17661,20220,,,
KEN,744402,Children who did not have a birth certificate but were registered,42.2,1,KE,Kenya,2022,KE2022DHS,CP_BREG_C_NCT,220906020,I,1000,0,Total,Total,0,,1,1,CPBREGCNCT,,2022,DHS,17661,20220,,,
KEN,744403,Children registered,76,1,KE,Kenya,2022,KE2022DHS,CP_BREG_C_REG,220906030,I,1000,0,Total,Total,0,,1,1,CPBREGCREG,,2022,DHS,17661,20220,,,
KEN,745007,Number of children under 5,17661,0,KE,Kenya,2022,KE2022DHS,CP_BREG_C_NUM,220906040,D,1000,0,Total,Total,0,,1,1,CPBREGCNUM,,2022,DHS,,20220,,,
KEN,192523,Number of children under 5 (unweighted),20220,0,KE,Kenya,2022,KE2022DHS,CP_BREG_C_UNW,220906050,U,1000,0,Total,Total,0,,1,1,CPBREGCUNW,,2022,DHS,17661,,,,
