ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,480079,Women who are obese according to BMI (>=30.0),2.6,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_OBS,114563110,I,1000,0,Total,Total,0,,1,1,ANNUTSWOBS,,1993,DHS,3242,3226,,,
KEN,749049,Population with electricity,8.8,1,KE,Kenya,1993,KE1993DHS,HC_ELEC_P_ELC,260322010,I,1000,0,Total,Total,0,,1,1,HCELECPELC,,1993,DHS,38096,37934,,,
KEN,4834,Households possessing a television,6.1,1,KE,Kenya,1993,KE1993DHS,HC_HEFF_H_TLV,260561020,I,1000,0,Total,Total,0,,1,1,HCHEFFHTLV,,1993,DHS,7950,7950,,,
KEN,4833,Households possessing a refrigerator,2.8,1,KE,Kenya,1993,KE1993DHS,HC_HEFF_H_FRG,260561050,I,1000,0,Total,Total,0,,1,1,HCHEFFHFRG,,1993,DHS,7950,7950,,,
KEN,681438,Households with members age 65+,15.3,1,KE,Kenya,1993,KE1993DHS,HC_OLDR_H_W65,260781050,I,1000,0,Total,Total,0,,1,1,HCOLDRHW65,,1993,DHS,7950,7950,,,
KEN,681437,Households with only members age 65+,3.4,1,KE,Kenya,1993,KE1993DHS,HC_OLDR_H_O65,260781060,I,1000,0,Total,Total,0,,1,1,HCOLDRHO65,,1993,DHS,7950,7950,,,
KEN,681439,Households with 3 generations,15.2,1,KE,Kenya,1993,KE1993DHS,HC_OLDR_H_3GN,260781070,I,1000,0,Total,Total,0,,1,1,HCOLDRH3GN,,1993,DHS,7950,7950,,,
KEN,676550,Population living in non-nuclear families,45.6,1,KE,Kenya,1993,KE1993DHS,HC_OLDR_P_NNC,260782010,I,1000,0,Total,Total,0,,1,1,HCOLDRPNNC,,1993,DHS,38096,37934,,,
KEN,676551,De jure population age 65+,3.7,1,KE,Kenya,1993,KE1993DHS,HC_OLDR_P_65P,260782020,I,1000,0,Total,Total,0,,1,1,HCOLDRP65P,,1993,DHS,38096,37934,,,
KEN,53456,Women who are obese according to BMI (>=30.0),2.8,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_OBS,114563110,I,1000,0,Total,Total,0,,1,1,ANNUTSWOBS,,1998,DHS,3106,3133,,,
KEN,420008,Population with electricity,11.7,1,KE,Kenya,1998,KE1998DHS,HC_ELEC_P_ELC,260322010,I,1000,0,Total,Total,0,,1,1,HCELECPELC,,1998,DHS,35916,36861,,,
KEN,676552,Households possessing a television,13,1,KE,Kenya,1998,KE1998DHS,HC_HEFF_H_TLV,260561020,I,1000,0,Total,Total,0,,1,1,HCHEFFHTLV,,1998,DHS,8380,8380,,,
