ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,215267,Population using an improved water source,38.6,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,1993,DHS,38096,37934,,,
KEN,215265,Population using water piped into dwelling,16,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,1993,DHS,38096,37934,,,
KEN,215269,Population using a public tap/standpipe,11.2,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,1993,DHS,38096,37934,,,
KEN,215281,Population with improved water source on the premises,19.5,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_IOP,250162190,I,1000,0,Total,Total,0,,1,1,WSSRCEPIOP,,1993,DHS,38096,37934,,,
KEN,215276,Population with basic water service,35.2,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_BAS,250162200,I,1000,0,Total,Total,0,,1,1,WSSRCEPBAS,,1993,DHS,38096,37934,,,
KEN,215284,Population with limited water service,3.5,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_LTD,250162210,I,1000,0,Total,Total,0,,1,1,WSSRCEPLTD,,1993,DHS,38096,37934,,,
KEN,215280,Population with water more than 30 minutes away round trip,18.4,1,KE,Kenya,1993,KE1993DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,,1,1,WSTIMEPM30,,1993,DHS,38096,37934,,,
KEN,625480,Population with an improved sanitation facility,13.6,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_IMP,250262010,I,1000,0,Total,Total,0,,1,1,WSTLETPIMP,,1993,DHS,38096,37934,,,
KEN,625483,Population with an unimproved sanitation facility,68.7,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_NIM,250262150,I,1000,0,Total,Total,0,,1,1,WSTLETPNIM,,1993,DHS,38096,37934,,,
KEN,625482,Population using open defecation,17.8,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_NFC,250262210,I,1000,0,Total,Total,0,,1,1,WSTLETPNFC,,1993,DHS,38096,37934,,,
KEN,614212,Households with one room for sleeping,44.6,1,KE,Kenya,1993,KE1993DHS,HC_RMSL_H_1RM,260361010,I,1000,0,Total,Total,0,,1,1,HCRMSLH1RM,,1993,DHS,7946,7945,,,
KEN,4797,Mean number of persons per sleeping room,2.5,1,KE,Kenya,1993,KE1993DHS,HC_PPRM_H_MNP,260531070,I,1000,0,Total,Total,0,,1,1,HCPPRMHMNP,,1993,DHS,,,,,
KEN,675441,Mean number of household members,4.8,1,KE,Kenya,1993,KE1993DHS,HC_MEMB_H_MNM,260831120,I,1000,0,Total,Total,0,,1,1,HCMEMBHMNM,,1993,DHS,7950,7950,,,
KEN,502799,Population using an improved water source,30.2,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,1998,DHS,35916,36861,,,
KEN,502786,Population using water piped into dwelling,19.5,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,1998,DHS,35916,36861,,,
KEN,502800,Population using a public tap/standpipe,9.4,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,1998,DHS,35916,36861,,,
KEN,502803,Population with improved water source on the premises,21.2,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_IOP,250162190,I,1000,0,Total,Total,0,,1,1,WSSRCEPIOP,,1998,DHS,35916,36861,,,
KEN,502794,Population with basic water service,29.1,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_BAS,250162200,I,1000,0,Total,Total,0,,1,1,WSSRCEPBAS,,1998,DHS,35916,36861,,,
KEN,502798,Population with limited water service,1.1,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_LTD,250162210,I,1000,0,Total,Total,0,,1,1,WSSRCEPLTD,,1998,DHS,35916,36861,,,
KEN,502802,Population with water more than 30 minutes away round trip,17.5,1,KE,Kenya,1998,KE1998DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,,1,1,WSTIMEPM30,,1998,DHS,35916,36861,,,
KEN,325635,Population with an improved sanitation facility,15.9,1,KE,Kenya,1998,KE1998DHS,WS_TLET_P_IMP,250262010,I,1000,0,Total,Total,0,,1,1,WSTLETPIMP,,1998,DHS,35916,36861,,,
KEN,325639,Population with an unimproved sanitation facility,68.2,1,KE,Kenya,1998,KE1998DHS,WS_TLET_P_NIM,250262150,I,1000,0,Total,Total,0,,1,1,WSTLETPNIM,,1998,DHS,35916,36861,,,
KEN,325637,Population using open defecation,15.9,1,KE,Kenya,1998,KE1998DHS,WS_TLET_P_NFC,250262210,I,1000,0,Total,Total,0,,1,1,WSTLETPNFC,,1998,DHS,35916,36861,,,
KEN,651939,Households with one room for sleeping,49.1,1,KE,Kenya,1998,KE1998DHS,HC_RMSL_H_1RM,260361010,I,1000,0,Total,Total,0,,1,1,HCRMSLH1RM,,1998,DHS,8369,8370,,,
KEN,5173,Mean number of persons per sleeping room,2.4,1,KE,Kenya,1998,KE1998DHS,HC_PPRM_H_MNP,260531070,I,1000,0,Total,Total,0,,1,1,HCPPRMHMNP,,1998,DHS,,,,,
KEN,470226,Mean number of household members,4.3,1,KE,Kenya,1998,KE1998DHS,HC_MEMB_H_MNM,260831120,I,1000,0,Total,Total,0,,1,1,HCMEMBHMNM,,1998,DHS,8380,8380,,,
KEN,635058,Population using an improved water source,41.4,1,KE,Kenya,2003,KE2003DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,2003,DHS,37238,36687,,,
KEN,635060,Population using water piped into dwelling,7.3,1,KE,Kenya,2003,KE2003DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,2003,DHS,37238,36687,,,
KEN,635056,Population using water piped into yard/plot,10.6,1,KE,Kenya,2003,KE2003DHS,WS_SRCE_P_PYD,250162025,I,1000,0,Total,Total,0,,1,1,WSSRCEPPYD,,2003,DHS,37238,36687,,,
KEN,635059,Population using a public tap/standpipe,9.4,1,KE,Kenya,2003,KE2003DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,2003,DHS,37238,36687,,,
KEN,635047,Population with improved water source on the premises,25.6,1,KE,Kenya,2003,KE2003DHS,WS_SRCE_P_IOP,250162190,I,1000,0,Total,Total,0,,1,1,WSSRCEPIOP,,2003,DHS,37238,36687,,,
KEN,635051,Population with basic water service,37.8,1,KE,Kenya,2003,KE2003DHS,WS_SRCE_P_BAS,250162200,I,1000,0,Total,Total,0,,1,1,WSSRCEPBAS,,2003,DHS,37238,36687,,,
KEN,635055,Population with limited water service,3.5,1,KE,Kenya,2003,KE2003DHS,WS_SRCE_P_LTD,250162210,I,1000,0,Total,Total,0,,1,1,WSSRCEPLTD,,2003,DHS,37238,36687,,,
KEN,635046,Population with water more than 30 minutes away round trip,19,1,KE,Kenya,2003,KE2003DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,,1,1,WSTIMEPM30,,2003,DHS,37238,36687,,,
KEN,417886,Population with an improved sanitation facility,16.9,1,KE,Kenya,2003,KE2003DHS,WS_TLET_P_IMP,250262010,I,1000,0,Total,Total,0,,1,1,WSTLETPIMP,,2003,DHS,37238,36687,,,
KEN,417888,Population with an unimproved sanitation facility,64.8,1,KE,Kenya,2003,KE2003DHS,WS_TLET_P_NIM,250262150,I,1000,0,Total,Total,0,,1,1,WSTLETPNIM,,2003,DHS,37238,36687,,,
KEN,417890,Population using open defecation,18.3,1,KE,Kenya,2003,KE2003DHS,WS_TLET_P_NFC,250262210,I,1000,0,Total,Total,0,,1,1,WSTLETPNFC,,2003,DHS,37238,36687,,,
KEN,417891,Population with basic sanitation service,10.3,1,KE,Kenya,2003,KE2003DHS,WS_TLET_P_BAS,250262300,I,1000,0,Total,Total,0,,1,1,WSTLETPBAS,,2003,DHS,37238,36687,,,
KEN,417892,Population with limited sanitation service,6.6,1,KE,Kenya,2003,KE2003DHS,WS_TLET_P_LTD,250262310,I,1000,0,Total,Total,0,,1,1,WSTLETPLTD,,2003,DHS,37238,36687,,,
KEN,467504,Mean number of household members,4.3,1,KE,Kenya,2003,KE2003DHS,HC_MEMB_H_MNM,260831120,I,1000,0,Total,Total,0,,1,1,HCMEMBHMNM,,2003,DHS,8561,8561,,,
KEN,537450,Population using an improved water source,61.7,1,KE,Kenya,2008,KE2008DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,2008-09,DHS,38069,37870,,,
KEN,537446,Population using water piped into dwelling,7.5,1,KE,Kenya,2008,KE2008DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,2008-09,DHS,38069,37870,,,
KEN,537449,Population using water piped into yard/plot,12,1,KE,Kenya,2008,KE2008DHS,WS_SRCE_P_PYD,250162025,I,1000,0,Total,Total,0,,1,1,WSSRCEPPYD,,2008-09,DHS,38069,37870,,,
KEN,537451,Population using a public tap/standpipe,9.1,1,KE,Kenya,2008,KE2008DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,2008-09,DHS,38069,37870,,,
KEN,537456,Population with improved water source on the premises,28.6,1,KE,Kenya,2008,KE2008DHS,WS_SRCE_P_IOP,250162190,I,1000,0,Total,Total,0,,1,1,WSSRCEPIOP,,2008-09,DHS,38069,37870,,,
KEN,537462,Population with basic water service,53.9,1,KE,Kenya,2008,KE2008DHS,WS_SRCE_P_BAS,250162200,I,1000,0,Total,Total,0,,1,1,WSSRCEPBAS,,2008-09,DHS,38069,37870,,,
KEN,537443,Population with limited water service,7.9,1,KE,Kenya,2008,KE2008DHS,WS_SRCE_P_LTD,250162210,I,1000,0,Total,Total,0,,1,1,WSSRCEPLTD,,2008-09,DHS,38069,37870,,,
KEN,537455,Population with water more than 30 minutes away round trip,19,1,KE,Kenya,2008,KE2008DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,,1,1,WSTIMEPM30,,2008-09,DHS,38069,37870,,,
KEN,195863,Population with an improved sanitation facility,44.6,1,KE,Kenya,2008,KE2008DHS,WS_TLET_P_IMP,250262010,I,1000,0,Total,Total,0,,1,1,WSTLETPIMP,,2008-09,DHS,38069,37870,,,
