ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,130893,Total fertility rate 15-49,6.7,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1989,DHS,,,,,
KEN,130892,General fertility rate,230,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,1989,DHS,,,,,
KEN,628206,Mean number of children ever born,3.67,2,KE,Kenya,1989,KE1989DHS,FE_CEBA_W_MNC,11863150,I,1000,0,Total,Total,0,,1,1,FECEBAWMNC,,1989,DHS,7150,7150,,,
KEN,628203,Mean number of living children,3.28,2,KE,Kenya,1989,KE1989DHS,FE_CEBA_W_MNL,11863160,I,1000,0,Total,Total,0,,1,1,FECEBAWMNL,,1989,DHS,7150,7150,,,
KEN,130927,Median age at first birth for women age 25-49,18.6,1,KE,Kenya,1989,KE1989DHS,FE_AAFB_W_M2B,12103080,I,1000,0,Total,Total,0,,1,1,FEAAFBWM2B,,1989,DHS,,,,,
KEN,28141,Women who want no more children,52,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,1000,Total,1,1,PRDESLWWNM,,1989,DHS,,4778,,,
KEN,509005,Women who want no more children,10.2,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189000,Living children: 0,1,0,PRDESLWWNM,,1989,DHS,,263,,,
KEN,634429,Women who want no more children,4.4,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189001,Living children: 1,1,0,PRDESLWWNM,,1989,DHS,,517,,,
KEN,730998,Women who want no more children,25.3,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189002,Living children: 2,1,0,PRDESLWWNM,,1989,DHS,,653,,,
KEN,28170,Women who want no more children,33.7,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189003,Living children: 3,1,0,PRDESLWWNM,,1989,DHS,,687,,,
KEN,663604,Women who want no more children,51.5,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189004,Living children: 4,1,0,PRDESLWWNM,,1989,DHS,,664,,,
KEN,735948,Women who want no more children,65.1,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189005,Living children: 5,1,0,PRDESLWWNM,,1989,DHS,,518,,,
KEN,28185,Women who want no more children,85,1,KE,Kenya,1989,KE1989DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189006,Living children: 6+,1,0,PRDESLWWNM,,1989,DHS,,1476,,,
KEN,436493,Mean ideal number of children for all women,4.4,1,KE,Kenya,1989,KE1989DHS,PR_MIDL_W_MNA,22263010,I,1000,0,Total,Total,0,,1,1,PRMIDLWMNA,,1989,DHS,6870,6836,,,
KEN,28882,Total wanted fertility rate,4.5,1,KE,Kenya,1989,KE1989DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,1989,DHS,,,,,
