ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,382350,Children with diarrhea,18,1,KE,Kenya,1989,KE1989DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIA,,1989,DHS,4080,3973,,,
KEN,389135,Children with diarrhea,12.7,1,KE,Kenya,1989,KE1989DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIA,,1989,DHS,6589,6407,,,
KEN,386044,Number of children born in the last five (or three) years,4080,0,KE,Kenya,1989,KE1989DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCNUM,,1989,DHS,,3973,,,
KEN,396008,Number of children born in the last five (or three) years,6589,0,KE,Kenya,1989,KE1989DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCNUM,,1989,DHS,,6407,,,
KEN,12095,Number of children born in the last five (or three) years (unweighted),3973,0,KE,Kenya,1989,KE1989DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCUNW,,1989,DHS,4080,,,,
KEN,281962,Number of children born in the last five (or three) years (unweighted),6407,0,KE,Kenya,1989,KE1989DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCUNW,,1989,DHS,6589,,,,
KEN,406685,Feeding practices during diarrhea: Increased amount of fluids,28.2,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_LMR,94136010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLMR,,1989,DHS,735,736,,,
KEN,621546,Feeding practices during diarrhea: Increased amount of fluids,28.7,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_LMR,94136010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLMR,,1989,DHS,838,833,,,
KEN,406683,Feeding practices during diarrhea: Same amount of fluids,71.8,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_LSM,94136020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLSM,,1989,DHS,735,736,,,
KEN,621550,Feeding practices during diarrhea: Same amount of fluids,71.3,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_LSM,94136020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLSM,,1989,DHS,838,833,,,
KEN,406686,Feeding practices during diarrhea: Total,100,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_LTO,94136080,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLTO,,1989,DHS,735,736,,,
KEN,621547,Feeding practices during diarrhea: Total,100,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_LTO,94136080,T,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLTO,,1989,DHS,838,833,,,
KEN,406688,Feeding practices during diarrhea: Increased amount of food,5.6,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FMR,94136090,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFMR,,1989,DHS,735,736,,,
KEN,621558,Feeding practices during diarrhea: Increased amount of food,5.8,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FMR,94136090,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFMR,,1989,DHS,838,833,,,
KEN,406684,Feeding practices during diarrhea: Same amount of food,94.4,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FSM,94136100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFSM,,1989,DHS,735,736,,,
KEN,621549,Feeding practices during diarrhea: Same amount of food,94.2,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FSM,94136100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFSM,,1989,DHS,838,833,,,
KEN,406687,Feeding practices during diarrhea: Total,100,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FTO,94136170,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFTO,,1989,DHS,735,736,,,
KEN,621548,Feeding practices during diarrhea: Total,100,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FTO,94136170,T,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFTO,,1989,DHS,838,833,,,
KEN,406689,Feeding practices during diarrhea: Given increased fluids and continued feeding,28.2,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FCF,94136180,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFCF,,1989,DHS,735,736,,,
KEN,621559,Feeding practices during diarrhea: Given increased fluids and continued feeding,28.7,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FCF,94136180,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFCF,,1989,DHS,838,833,,,
KEN,406690,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",69.6,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FAL,94136190,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFAL,,1989,DHS,735,736,,,
KEN,621551,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",70.1,1,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_FAL,94136190,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFAL,,1989,DHS,838,833,,,
KEN,411038,Number of children born in the last five (or three) years who had diarrhea in the last two weeks,735,0,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_NUM,94136200,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCNUM,,1989,DHS,,736,,,
KEN,636818,Number of children born in the last five (or three) years who had diarrhea in the last two weeks,838,0,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_NUM,94136200,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCNUM,,1989,DHS,,833,,,
KEN,208386,Number of children born in the last five (or three) years who had diarrhea in the last two weeks (unweighted),736,0,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_UNW,94136210,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCUNW,,1989,DHS,735,,,,
KEN,218180,Number of children born in the last five (or three) years who had diarrhea in the last two weeks (unweighted),833,0,KE,Kenya,1989,KE1989DHS,CH_DIFP_C_UNW,94136210,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCUNW,,1989,DHS,838,,,,
KEN,547128,Children with diarrhea,18.8,1,KE,Kenya,1993,KE1993DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIA,,1993,DHS,3364,3370,,,
KEN,320868,Children with diarrhea,13.8,1,KE,Kenya,1993,KE1993DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIA,,1993,DHS,5650,5642,,,
KEN,547109,Children with diarrhea with blood in the stools,3.3,1,KE,Kenya,1993,KE1993DHS,CH_DIAR_C_DIB,94066020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIB,,1993,DHS,3364,3370,,,
KEN,320869,Children with diarrhea with blood in the stools,2.4,1,KE,Kenya,1993,KE1993DHS,CH_DIAR_C_DIB,94066020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIB,,1993,DHS,5650,5642,,,
KEN,547127,Number of children born in the last five (or three) years,3364,0,KE,Kenya,1993,KE1993DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCNUM,,1993,DHS,,3370,,,
