ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,130878,Age specific fertility rate: 15-19,153,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1989,DHS,,,,,
KEN,130873,Age specific fertility rate: 20-24,324,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,1989,DHS,,,,,
KEN,130874,Age specific fertility rate: 25-29,301,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,1989,DHS,,,,,
KEN,130875,Age specific fertility rate: 30-34,243,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,1989,DHS,,,,,
KEN,130876,Age specific fertility rate: 35-39,184,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,1989,DHS,,,,,
KEN,130879,Age specific fertility rate: 40-44,99,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,1989,DHS,,,,,
KEN,130890,Age specific fertility rate: 45-49,29,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,1989,DHS,,,,,
KEN,130893,Total fertility rate 15-49,6.7,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1989,DHS,,,,,
KEN,130891,Total fertility rate 15-44,6.5,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,1989,DHS,,,,,
KEN,130892,General fertility rate,230,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,1989,DHS,,,,,
KEN,28882,Total wanted fertility rate,4.5,1,KE,Kenya,1989,KE1989DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,1989,DHS,,,,,
KEN,130954,Age specific fertility rate: 15-19,110,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1993,DHS,,,,,
KEN,130947,Age specific fertility rate: 20-24,257,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,1993,DHS,,,,,
KEN,130950,Age specific fertility rate: 25-29,241,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,1993,DHS,,,,,
KEN,130951,Age specific fertility rate: 30-34,197,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,1993,DHS,,,,,
KEN,130953,Age specific fertility rate: 35-39,154,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,1993,DHS,,,,,
