ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,130878,Age specific fertility rate: 15-19,153,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1989,DHS,,,,,
KEN,328959,Current use of any modern method of contraception (all women),14.7,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_MOD,32603020,I,1000,0,Total,Total,0,,1,1,FPCUSAWMOD,,1989,DHS,7150,7150,,,
KEN,328970,Current use of female sterilization (all women),3.6,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_FST,32603030,I,1000,0,Total,Total,0,,1,1,FPCUSAWFST,,1989,DHS,7150,7150,,,
KEN,328967,Current use of male sterilization (all women),0,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_MST,32603040,I,1000,0,Total,Total,0,,1,1,FPCUSAWMST,,1989,DHS,7150,7150,,,
KEN,328971,Current use of pill (all women),4.6,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_PIL,32603050,I,1000,0,Total,Total,0,,1,1,FPCUSAWPIL,,1989,DHS,7150,7150,,,
KEN,328968,Current use of IUD (all women),3,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_IUD,32603060,I,1000,0,Total,Total,0,,1,1,FPCUSAWIUD,,1989,DHS,7150,7150,,,
KEN,328960,Current use of injections (all women),2.7,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_INJ,32603070,I,1000,0,Total,Total,0,,1,1,FPCUSAWINJ,,1989,DHS,7150,7150,,,
KEN,328962,"Current use of diaphragm, foam or jelly (all women)",0.3,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_DFJ,32603080,I,1000,0,Total,Total,0,,1,1,FPCUSAWDFJ,,1989,DHS,7150,7150,,,
KEN,328961,Current use of condom (all women),0.4,1,KE,Kenya,1989,KE1989DHS,FP_CUSA_W_MCN,32603100,I,1000,0,Total,Total,0,,1,1,FPCUSAWMCN,,1989,DHS,7150,7150,,,
KEN,74108,Married women currently using any modern method of contraception,17.9,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1989,DHS,4765,4778,,,
KEN,74109,Married women currently using female sterilization,4.7,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_FST,32633030,I,1000,0,Total,Total,0,,1,1,FPCUSMWFST,,1989,DHS,4765,4778,,,
KEN,74104,Married women currently using pill,5.2,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_PIL,32633050,I,1000,0,Total,Total,0,,1,1,FPCUSMWPIL,,1989,DHS,4765,4778,,,
KEN,74101,Married women currently using IUD,3.7,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_IUD,32633060,I,1000,0,Total,Total,0,,1,1,FPCUSMWIUD,,1989,DHS,4765,4778,,,
KEN,74105,Married women currently using injections,3.3,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_INJ,32633070,I,1000,0,Total,Total,0,,1,1,FPCUSMWINJ,,1989,DHS,4765,4778,,,
KEN,74102,"Married women currently using diaphragm, foam or jelly",0.4,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_DFJ,32633080,I,1000,0,Total,Total,0,,1,1,FPCUSMWDFJ,,1989,DHS,4765,4778,,,
KEN,74103,Married women currently using condom,0.5,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MCN,32633100,I,1000,0,Total,Total,0,,1,1,FPCUSMWMCN,,1989,DHS,4765,4778,,,
KEN,384053,Current use of any modern method of contraception (sexually active unmarried women),23.5,1,KE,Kenya,1989,KE1989DHS,FP_CUSU_W_MOD,32663020,I,1000,0,Total,Total,0,,1,1,FPCUSUWMOD,,1989,DHS,335,361,,,
KEN,384047,Current use of female sterilization (sexually active unmarried women),1.2,1,KE,Kenya,1989,KE1989DHS,FP_CUSU_W_FST,32663030,I,1000,0,Total,Total,0,,1,1,FPCUSUWFST,,1989,DHS,335,361,,,
KEN,384054,Current use of male sterilization (sexually active unmarried women),1,1,KE,Kenya,1989,KE1989DHS,FP_CUSU_W_MST,32663040,I,1000,0,Total,Total,0,,1,1,FPCUSUWMST,,1989,DHS,335,361,,,
