ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,631212,Social security health insurance [Women],1.2,1,KE,Kenya,2008,KE2008DHS,AH_HINS_W_SOS,151403010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWSOS,,2008-09,DHS,8444,8444,,,
KEN,631214,Other employer-base health insurance [Women],4.4,1,KE,Kenya,2008,KE2008DHS,AH_HINS_W_EBI,151403020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWEBI,,2008-09,DHS,8444,8444,,,
KEN,631218,Mutual health organzation or community-base health insurance [Women],0.7,1,KE,Kenya,2008,KE2008DHS,AH_HINS_W_MUT,151403030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWMUT,,2008-09,DHS,8444,8444,,,
KEN,631215,Privately purchased commercial insurance [Women],0.9,1,KE,Kenya,2008,KE2008DHS,AH_HINS_W_PRV,151403040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWPRV,,2008-09,DHS,8444,8444,,,
KEN,631219,Other health insurance [Women],0.2,1,KE,Kenya,2008,KE2008DHS,AH_HINS_W_OTH,151403050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWOTH,,2008-09,DHS,8444,8444,,,
KEN,631213,No health insurance [Women],93,1,KE,Kenya,2008,KE2008DHS,AH_HINS_W_NON,151403060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWNON,,2008-09,DHS,8444,8444,,,
KEN,639497,Number of women,8444,0,KE,Kenya,2008,KE2008DHS,AH_HINS_W_NUM,151403070,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWNUM,,2008-09,DHS,,8444,,,
KEN,313006,Number of women (unweighted),8444,0,KE,Kenya,2008,KE2008DHS,AH_HINS_W_UNW,151403080,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWUNW,,2008-09,DHS,8444,,,,
KEN,8852,Social security health insurance [Men],2.4,1,KE,Kenya,2008,KE2008DHS,AH_HINS_M_SOS,151404090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMSOS,,2008-09,DHS,3258,3256,,,
KEN,8851,Other employer-base health insurance [Men],7.7,1,KE,Kenya,2008,KE2008DHS,AH_HINS_M_EBI,151404100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMEBI,,2008-09,DHS,3258,3256,,,
KEN,8854,Mutual health organzation or community-base health insurance [Men],0.4,1,KE,Kenya,2008,KE2008DHS,AH_HINS_M_MUT,151404110,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMMUT,,2008-09,DHS,3258,3256,,,
KEN,8853,Privately purchased commercial insurance [Men],1.9,1,KE,Kenya,2008,KE2008DHS,AH_HINS_M_PRV,151404120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMPRV,,2008-09,DHS,3258,3256,,,
KEN,8855,Other health insurance [Men],0.1,1,KE,Kenya,2008,KE2008DHS,AH_HINS_M_OTH,151404130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMOTH,,2008-09,DHS,3258,3256,,,
KEN,8850,No health insurance [Men],88.7,1,KE,Kenya,2008,KE2008DHS,AH_HINS_M_NON,151404140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMNON,,2008-09,DHS,3258,3256,,,
KEN,133866,Number of men,3258,0,KE,Kenya,2008,KE2008DHS,AH_HINS_M_NUM,151404150,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMNUM,,2008-09,DHS,,3256,,,
KEN,8871,Number of men (unweighted),3256,0,KE,Kenya,2008,KE2008DHS,AH_HINS_M_UNW,151404160,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMUNW,,2008-09,DHS,3258,,,,
KEN,618541,Social security health insurance [Women],14.3,1,KE,Kenya,2014,KE2014DHS,AH_HINS_W_SOS,151403010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWSOS,,2014,DHS,14625,14741,,,
KEN,618547,Other employer-base health insurance [Women],2.4,1,KE,Kenya,2014,KE2014DHS,AH_HINS_W_EBI,151403020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWEBI,,2014,DHS,14625,14741,,,
