ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,705664,Sex before the age of 15 [Men],27.7,1,KE,Kenya,1993,KE1993DHS,HA_AFSY_M_A15,135764070,I,1000,0,Total,Total,0,,1,1,HAAFSYMA15,,1993,DHS,525,526,,,
KEN,705665,Number of young men,525,0,KE,Kenya,1993,KE1993DHS,HA_AFSY_M_NM1,135764080,D,1000,0,Total,Total,0,,1,1,HAAFSYMNM1,,1993,DHS,,526,,,
KEN,318705,Number of young men (unweighted),526,0,KE,Kenya,1993,KE1993DHS,HA_AFSY_M_UN1,135764090,U,1000,0,Total,Total,0,,1,1,HAAFSYMUN1,,1993,DHS,73,,,,
KEN,319319,Sex before the age of 18 [Men],72.8,1,KE,Kenya,1993,KE1993DHS,HA_AFSY_M_A18,135764100,I,1000,0,Total,Total,0,,1,1,HAAFSYMA18,,1993,DHS,525,526,,,
KEN,86550,Number of young men age 18-24,525,0,KE,Kenya,1993,KE1993DHS,HA_AFSY_M_NM2,135764110,D,1000,0,Total,Total,0,,1,1,HAAFSYMNM2,,1993,DHS,,526,,,
KEN,86549,Number of young men age 18-24 (unweighted),526,0,KE,Kenya,1993,KE1993DHS,HA_AFSY_M_UN2,135764120,U,1000,0,Total,Total,0,,1,1,HAAFSYMUN2,,1993,DHS,,,,,
KEN,430292,Young men never having sexual intercourse,7.6,1,KE,Kenya,1993,KE1993DHS,HA_PSXY_M_NSX,135804080,I,1000,0,Total,Total,0,,1,1,HAPSXYMNSX,,1993,DHS,411,420,,,
KEN,430289,Young men having premarital sex in last year,86.4,1,KE,Kenya,1993,KE1993DHS,HA_PSXY_M_SX1,135804090,I,1000,0,Total,Total,0,,1,1,HAPSXYMSX1,,1993,DHS,411,420,,,
KEN,430293,Number of never-married men,411,0,KE,Kenya,1993,KE1993DHS,HA_PSXY_M_NUM,135804100,D,1000,0,Total,Total,0,,1,1,HAPSXYMNUM,,1993,DHS,,420,,,
KEN,87178,Number of never-married men (unweighted),420,0,KE,Kenya,1993,KE1993DHS,HA_PSXY_M_UNW,135804110,U,1000,0,Total,Total,0,,1,1,HAPSXYMUNW,,1993,DHS,411,,,,
KEN,87180,Number of men,355,0,KE,Kenya,1993,KE1993DHS,HA_PSXY_M_NM1,135804130,D,1000,0,Total,Total,0,,1,1,HAPSXYMNM1,,1993,DHS,,365,,,
KEN,340309,Number of men (unweighted),365,0,KE,Kenya,1993,KE1993DHS,HA_PSXY_M_UN1,135804140,U,1000,0,Total,Total,0,,1,1,HAPSXYMUN1,,1993,DHS,355,,,,
KEN,444875,Number of young women,3392,0,KE,Kenya,1993,KE1993DHS,HA_MSPY_W_NM1,135833020,D,1000,0,Total,Total,0,,1,1,HAMSPYWNM1,,1993,DHS,,3393,,,
KEN,12556,Number of young women (unweighted),3393,0,KE,Kenya,1993,KE1993DHS,HA_MSPY_W_UN1,135833030,U,1000,0,Total,Total,0,,1,1,HAMSPYWUN1,,1993,DHS,3392,,,,
KEN,626051,Number of sexually active young women,1937,0,KE,Kenya,1993,KE1993DHS,HA_MSPY_W_NM2,135833050,D,1000,0,Total,Total,0,,1,1,HAMSPYWNM2,,1993,DHS,,1902,,,
KEN,343309,Number of sexually active young women (unweighted),1902,0,KE,Kenya,1993,KE1993DHS,HA_MSPY_W_UN2,135833060,U,1000,0,Total,Total,0,,1,1,HAMSPYWUN2,,1993,DHS,1937,,,,
