ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,422105,Men who have heard of HIV or AIDS,99.4,1,KE,Kenya,1993,KE1993DHS,HA_KAID_M_HRD,135164040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMHRD,,1993,DHS,2171,2170,,,
KEN,426815,Number of men,2171,0,KE,Kenya,1993,KE1993DHS,HA_KAID_M_NUM,135164050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMNUM,,1993,DHS,,2170,,,
KEN,222774,Number of men (unweighted),2170,0,KE,Kenya,1993,KE1993DHS,HA_KAID_M_UNW,135164060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMUNW,,1993,DHS,2171,,,,
KEN,282212,Women who have heard of HIV or AIDS,99,1,KE,Kenya,1998,KE1998DHS,HA_KAID_W_HRD,135163010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDWHRD,,1998,DHS,7881,7881,,,
KEN,86543,Number of women,7881,0,KE,Kenya,1998,KE1998DHS,HA_KAID_W_NUM,135163020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDWNUM,,1998,DHS,,7881,,,
KEN,282211,Number of women (unweighted),7881,0,KE,Kenya,1998,KE1998DHS,HA_KAID_W_UNW,135163030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDWUNW,,1998,DHS,7881,,,,
KEN,86539,Men who have heard of HIV or AIDS,99.3,1,KE,Kenya,1998,KE1998DHS,HA_KAID_M_HRD,135164040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMHRD,,1998,DHS,3224,3231,,,
KEN,86540,Number of men,3224,0,KE,Kenya,1998,KE1998DHS,HA_KAID_M_NUM,135164050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMNUM,,1998,DHS,,3231,,,
KEN,86541,Number of men (unweighted),3231,0,KE,Kenya,1998,KE1998DHS,HA_KAID_M_UNW,135164060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMUNW,,1998,DHS,3224,,,,
KEN,508836,Women who have heard of HIV or AIDS,98.5,1,KE,Kenya,2003,KE2003DHS,HA_KAID_W_HRD,135163010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDWHRD,,2003,DHS,8195,8195,,,
KEN,512121,Number of women,8195,0,KE,Kenya,2003,KE2003DHS,HA_KAID_W_NUM,135163020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDWNUM,,2003,DHS,,8195,,,
KEN,207888,Number of women (unweighted),8195,0,KE,Kenya,2003,KE2003DHS,HA_KAID_W_UNW,135163030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDWUNW,,2003,DHS,8195,,,,
KEN,308163,Men who have heard of HIV or AIDS,99.4,1,KE,Kenya,2003,KE2003DHS,HA_KAID_M_HRD,135164040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMHRD,,2003,DHS,3363,3348,,,
KEN,86553,Number of men,3363,0,KE,Kenya,2003,KE2003DHS,HA_KAID_M_NUM,135164050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMNUM,,2003,DHS,,3348,,,
KEN,308168,Number of men (unweighted),3348,0,KE,Kenya,2003,KE2003DHS,HA_KAID_M_UNW,135164060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKAIDMUNW,,2003,DHS,3363,,,,
KEN,390470,Knowledge of HIV prevention methods - Use of condoms (prompted) [Women],61,1,KE,Kenya,2003,KE2003DHS,HA_KHVP_W_CND,135203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPWCND,,2003,DHS,8195,8195,,,
KEN,390471,Knowledge of HIV prevention methods - Only one partner (prompted) [Women],80.5,1,KE,Kenya,2003,KE2003DHS,HA_KHVP_W_SX1,135203020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPWSX1,,2003,DHS,8195,8195,,,
KEN,390472,Knowledge of HIV prevention methods - Composite of 2 components (prompted) [Women],57.8,1,KE,Kenya,2003,KE2003DHS,HA_KHVP_W_CS1,135203030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPWCS1,,2003,DHS,8195,8195,,,
KEN,396338,Number of women,8195,0,KE,Kenya,2003,KE2003DHS,HA_KHVP_W_NUM,135203040,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPWNUM,,2003,DHS,,8195,,,
KEN,200602,Number of women (unweighted),8195,0,KE,Kenya,2003,KE2003DHS,HA_KHVP_W_UNW,135203050,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPWUNW,,2003,DHS,8195,,,,
KEN,202973,Knowledge of HIV prevention methods - Use of condoms (prompted) [Men],72,1,KE,Kenya,2003,KE2003DHS,HA_KHVP_M_CND,135204060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPMCND,,2003,DHS,3363,3348,,,
KEN,202976,Knowledge of HIV prevention methods - Only one partner (prompted) [Men],88.8,1,KE,Kenya,2003,KE2003DHS,HA_KHVP_M_SX1,135204070,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPMSX1,,2003,DHS,3363,3348,,,
KEN,202975,Knowledge of HIV prevention methods - Composite of 2 components (prompted) [Men],69.9,1,KE,Kenya,2003,KE2003DHS,HA_KHVP_M_CS1,135204080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPMCS1,,2003,DHS,3363,3348,,,
KEN,86555,Number of men,3363,0,KE,Kenya,2003,KE2003DHS,HA_KHVP_M_NUM,135204090,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPMNUM,,2003,DHS,,3348,,,
KEN,202974,Number of men (unweighted),3348,0,KE,Kenya,2003,KE2003DHS,HA_KHVP_M_UNW,135204100,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAKHVPMUNW,,2003,DHS,3363,,,,
KEN,441462,No incorrect beliefs about AIDS - Healthy-looking person can have the AIDS virus [Women],84.7,1,KE,Kenya,2003,KE2003DHS,HA_CKNA_W_HLT,135233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HACKNAWHLT,,2003,DHS,8195,8195,,,
