ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,784825,HIV prevalence among women,8.7,1,KE,Kenya,2003,KE2003DHS,HA_HIVP_W_HIV,135963160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWHIV,,2003,DHS,3151,3273,7.4,10,
KEN,185239,Number of women interviewed and tested,3151,0,KE,Kenya,2003,KE2003DHS,HA_HIVP_W_NUM,135963170,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWNUM,,2003,DHS,,3273,,,
KEN,207535,Number of women interviewed and tested (unweighted),3273,0,KE,Kenya,2003,KE2003DHS,HA_HIVP_W_UNW,135963180,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWUNW,,2003,DHS,3151,,,,
KEN,814300,HIV prevalence among men,4.6,1,KE,Kenya,2003,KE2003DHS,HA_HIVP_M_HIV,135964190,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMHIV,,2003,DHS,2851,2723,3.5,5.6,
KEN,424680,Number of men interviewed and tested,2851,0,KE,Kenya,2003,KE2003DHS,HA_HIVP_M_NUM,135964200,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMNUM,,2003,DHS,,2723,,,
KEN,318592,Number of men interviewed and tested (unweighted),2723,0,KE,Kenya,2003,KE2003DHS,HA_HIVP_M_UNW,135964210,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMUNW,,2003,DHS,2851,,,,
KEN,462342,HIV prevalence among general population,6.7,1,KE,Kenya,2003,KE2003DHS,HA_HIVP_B_HIV,135965220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBHIV,,2003,DHS,6001,5996,5.7,7.7,
KEN,468428,Number of persons interviewed and tested,6001,0,KE,Kenya,2003,KE2003DHS,HA_HIVP_B_NUM,135965230,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBNUM,,2003,DHS,,5996,,,
KEN,241784,Number of persons interviewed and tested (unweighted),5996,0,KE,Kenya,2003,KE2003DHS,HA_HIVP_B_UNW,135965240,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBUNW,,2003,DHS,6001,,,,
KEN,828974,HIV prevalence among young women aged 15-24,5.9,1,KE,Kenya,2003,KE2003DHS,HA_HIVY_W_HIV,136003010,I,1000,0,Total,Total,0,,1,1,HAHIVYWHIV,,2003,DHS,1369,1416,4.4,7.4,
KEN,185257,Number of young women interviewed and tested,1369,0,KE,Kenya,2003,KE2003DHS,HA_HIVY_W_NUM,136003020,D,1000,0,Total,Total,0,,1,1,HAHIVYWNUM,,2003,DHS,,1416,,,
KEN,333452,Number of young women interviewed and tested (unweighted),1416,0,KE,Kenya,2003,KE2003DHS,HA_HIVY_W_UNW,136003030,U,1000,0,Total,Total,0,,1,1,HAHIVYWUNW,,2003,DHS,1369,,,,
KEN,773825,HIV prevalence among young men aged 15-24,1.2,1,KE,Kenya,2003,KE2003DHS,HA_HIVY_M_HIV,136004040,I,1000,0,Total,Total,0,,1,1,HAHIVYMHIV,,2003,DHS,1311,1234,0.6,1.9,
KEN,555449,Number of young men interviewed and tested,1311,0,KE,Kenya,2003,KE2003DHS,HA_HIVY_M_NUM,136004050,D,1000,0,Total,Total,0,,1,1,HAHIVYMNUM,,2003,DHS,,1234,,,
KEN,350292,Number of young men interviewed and tested (unweighted),1234,0,KE,Kenya,2003,KE2003DHS,HA_HIVY_M_UNW,136004060,U,1000,0,Total,Total,0,,1,1,HAHIVYMUNW,,2003,DHS,1311,,,,
KEN,813377,HIV prevalence among young people aged 15-24,3.6,1,KE,Kenya,2003,KE2003DHS,HA_HIVY_B_HIV,136005070,I,1000,0,Total,Total,0,,1,1,HAHIVYBHIV,,2003,DHS,2679,2650,2.8,4.5,
KEN,575444,Number of young persons interviewed and tested,2679,0,KE,Kenya,2003,KE2003DHS,HA_HIVY_B_NUM,136005080,D,1000,0,Total,Total,0,,1,1,HAHIVYBNUM,,2003,DHS,,2650,,,
KEN,240032,Number of young persons interviewed and tested (unweighted),2650,0,KE,Kenya,2003,KE2003DHS,HA_HIVY_B_UNW,136005090,U,1000,0,Total,Total,0,,1,1,HAHIVYBUNW,,2003,DHS,2679,,,,
KEN,461830,Circumcised men HIV positive,3.1,1,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_HVC,136064010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMHVC,,2003,DHS,2372,2286,,,
KEN,466874,Number of circumcised men,2372,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_NM1,136064020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMNM1,,2003,DHS,,2286,,,
KEN,239854,Number of circumcised men (unweighted),2286,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_UN1,136064030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMUN1,,2003,DHS,2372,,,,
KEN,729399,Uncircumcised men HIV positive,11.5,1,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_HVU,136064040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMHVU,,2003,DHS,475,434,,,
KEN,729398,Number of uncircumcised men,475,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_NM2,136064050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMNM2,,2003,DHS,,434,,,
KEN,185271,Number of uncircumcised men (unweighted),434,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_UN2,136064060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMUN2,,2003,DHS,475,,,,
KEN,734109,Couple both HIV positive,3.6,1,KE,Kenya,2003,KE2003DHS,HA_HPAC_B_CPP,136105010,I,1000,0,Total,Total,0,,1,1,HAHPACBCPP,,2003,DHS,1116,1083,,,
KEN,734110,"Man HIV positive, woman HIV negative",2.9,1,KE,Kenya,2003,KE2003DHS,HA_HPAC_B_CPN,136105020,I,1000,0,Total,Total,0,,1,1,HAHPACBCPN,,2003,DHS,1116,1083,,,
KEN,734111,"Woman HIV positive, man HIV negative",4.6,1,KE,Kenya,2003,KE2003DHS,HA_HPAC_B_CNP,136105030,I,1000,0,Total,Total,0,,1,1,HAHPACBCNP,,2003,DHS,1116,1083,,,
KEN,734108,Couple both HIV negative,88.9,1,KE,Kenya,2003,KE2003DHS,HA_HPAC_B_CNN,136105040,I,1000,0,Total,Total,0,,1,1,HAHPACBCNN,,2003,DHS,1116,1083,,,
KEN,734112,HIV prevalence among couples: Total,100,1,KE,Kenya,2003,KE2003DHS,HA_HPAC_B_TOT,136105050,T,1000,0,Total,Total,0,,1,1,HAHPACBTOT,,2003,DHS,1116,1083,,,
KEN,734665,Number of couples,1116,0,KE,Kenya,2003,KE2003DHS,HA_HPAC_B_NUM,136105060,D,1000,0,Total,Total,0,,1,1,HAHPACBNUM,,2003,DHS,,1083,,,
KEN,222034,Number of couples (unweighted),1083,0,KE,Kenya,2003,KE2003DHS,HA_HPAC_B_UNW,136105070,U,1000,0,Total,Total,0,,1,1,HAHPACBUNW,,2003,DHS,1116,,,,
KEN,1361,HIV prevalence among women,8,1,KE,Kenya,2008,KE2008DHS,HA_HIVP_W_HIV,135963160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWHIV,,2008-09,DHS,3641,3811,6.7,9.3,
KEN,502948,Number of women interviewed and tested,3641,0,KE,Kenya,2008,KE2008DHS,HA_HIVP_W_NUM,135963170,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWNUM,,2008-09,DHS,,3811,,,
KEN,8530,Number of women interviewed and tested (unweighted),3811,0,KE,Kenya,2008,KE2008DHS,HA_HIVP_W_UNW,135963180,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWUNW,,2008-09,DHS,3641,,,,
KEN,790723,HIV prevalence among men,4.3,1,KE,Kenya,2008,KE2008DHS,HA_HIVP_M_HIV,135964190,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMHIV,,2008-09,DHS,3066,2907,3.2,5.3,
KEN,637719,Number of men interviewed and tested,3066,0,KE,Kenya,2008,KE2008DHS,HA_HIVP_M_NUM,135964200,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMNUM,,2008-09,DHS,,2907,,,
KEN,316390,Number of men interviewed and tested (unweighted),2907,0,KE,Kenya,2008,KE2008DHS,HA_HIVP_M_UNW,135964210,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMUNW,,2008-09,DHS,3066,,,,
KEN,445920,HIV prevalence among general population,6.3,1,KE,Kenya,2008,KE2008DHS,HA_HIVP_B_HIV,135965220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBHIV,,2008-09,DHS,6707,6718,5.3,7.3,
KEN,447576,Number of persons interviewed and tested,6707,0,KE,Kenya,2008,KE2008DHS,HA_HIVP_B_NUM,135965230,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBNUM,,2008-09,DHS,,6718,,,
KEN,197282,Number of persons interviewed and tested (unweighted),6718,0,KE,Kenya,2008,KE2008DHS,HA_HIVP_B_UNW,135965240,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBUNW,,2008-09,DHS,6707,,,,
KEN,800483,HIV prevalence among young women aged 15-24,4.5,1,KE,Kenya,2008,KE2008DHS,HA_HIVY_W_HIV,136003010,I,1000,0,Total,Total,0,,1,1,HAHIVYWHIV,,2008-09,DHS,1478,1609,3.3,5.8,
KEN,185368,Number of young women interviewed and tested,1478,0,KE,Kenya,2008,KE2008DHS,HA_HIVY_W_NUM,136003020,D,1000,0,Total,Total,0,,1,1,HAHIVYWNUM,,2008-09,DHS,,1609,,,
KEN,308186,Number of young women interviewed and tested (unweighted),1609,0,KE,Kenya,2008,KE2008DHS,HA_HIVY_W_UNW,136003030,U,1000,0,Total,Total,0,,1,1,HAHIVYWUNW,,2008-09,DHS,1478,,,,
KEN,410968,HIV prevalence among young men aged 15-24,1.1,1,KE,Kenya,2008,KE2008DHS,HA_HIVY_M_HIV,136004040,I,1000,0,Total,Total,0,,1,1,HAHIVYMHIV,,2008-09,DHS,1354,1248,0.4,1.7,
KEN,415263,Number of young men interviewed and tested,1354,0,KE,Kenya,2008,KE2008DHS,HA_HIVY_M_NUM,136004050,D,1000,0,Total,Total,0,,1,1,HAHIVYMNUM,,2008-09,DHS,,1248,,,
KEN,223816,Number of young men interviewed and tested (unweighted),1248,0,KE,Kenya,2008,KE2008DHS,HA_HIVY_M_UNW,136004060,U,1000,0,Total,Total,0,,1,1,HAHIVYMUNW,,2008-09,DHS,1354,,,,
KEN,196985,HIV prevalence among young people aged 15-24,2.9,1,KE,Kenya,2008,KE2008DHS,HA_HIVY_B_HIV,136005070,I,1000,0,Total,Total,0,,1,1,HAHIVYBHIV,,2008-09,DHS,2833,2857,2.1,3.7,
KEN,185367,Number of young persons interviewed and tested,2833,0,KE,Kenya,2008,KE2008DHS,HA_HIVY_B_NUM,136005080,D,1000,0,Total,Total,0,,1,1,HAHIVYBNUM,,2008-09,DHS,,2857,,,
KEN,196983,Number of young persons interviewed and tested (unweighted),2857,0,KE,Kenya,2008,KE2008DHS,HA_HIVY_B_UNW,136005090,U,1000,0,Total,Total,0,,1,1,HAHIVYBUNW,,2008-09,DHS,2833,,,,
