ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,91341,Number of children 12-23 months (unweighted),1302,0,KE,Kenya,1989,KE1989DHS,CH_VACS_C_UNW,93886270,U,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCUNW,,1989,DHS,,,,,
KEN,91331,Number of children 12-23 months (unweighted),1323,0,KE,Kenya,1989,KE1989DHS,CH_VACS_C_UNW,93886270,U,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCUNW,,1989,DHS,,,,,
KEN,359003,BCG vaccination received,59,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_BCG,93906010,I,1000,0,Total,Total,0,,1,1,CHVACCCBCG,,1989,DHS,1315,1302,,,
KEN,359011,DPT 1 vaccination received,60.3,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_DP1,93906020,I,1000,0,Total,Total,0,,1,1,CHVACCCDP1,,1989,DHS,1315,1302,,,
KEN,359004,DPT 2 vaccination received,58.5,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_DP2,93906030,I,1000,0,Total,Total,0,,1,1,CHVACCCDP2,,1989,DHS,1315,1302,,,
KEN,359012,DPT 3 vaccination received,55.1,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_DP3,93906040,I,1000,0,Total,Total,0,,1,1,CHVACCCDP3,,1989,DHS,1315,1302,,,
KEN,359006,Polio 1 vaccination received,60.5,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_OP1,93906060,I,1000,0,Total,Total,0,,1,1,CHVACCCOP1,,1989,DHS,1315,1302,,,
KEN,359009,Polio 2 vaccination received,58.2,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_OP2,93906070,I,1000,0,Total,Total,0,,1,1,CHVACCCOP2,,1989,DHS,1315,1302,,,
KEN,359010,Polio 3 vaccination received,55.6,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_OP3,93906080,I,1000,0,Total,Total,0,,1,1,CHVACCCOP3,,1989,DHS,1315,1302,,,
KEN,359017,Measles vaccination received,47.6,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_MSL,93906090,I,1000,0,Total,Total,0,,1,1,CHVACCCMSL,,1989,DHS,1315,1302,,,
KEN,359005,Fully vaccinated (8 basic antigens),44,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,,1,1,CHVACCCBAS,,1989,DHS,1315,1302,,,
KEN,359018,Received no vaccinations,39.2,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_NON,93906250,I,1000,0,Total,Total,0,,1,1,CHVACCCNON,,1989,DHS,1315,1302,,,
KEN,14112,Number of children 12-23 months,1315,0,KE,Kenya,1989,KE1989DHS,CH_VACC_C_NUM,93906270,D,1000,0,Total,Total,0,,1,1,CHVACCCNUM,,1989,DHS,,1302,,,
KEN,359016,Number of children 12-23 months (unweighted),1302,0,KE,Kenya,1989,KE1989DHS,CH_VACC_C_UNW,93906280,U,1000,0,Total,Total,0,,1,1,CHVACCCUNW,,1989,DHS,1315,,,,
KEN,519523,Percentage showing a vaccination card,48.1,1,KE,Kenya,1989,KE1989DHS,CH_VAC1_C_VCD,93936260,I,1000,0,Total,Total,0,,1,1,CHVAC1CVCD,,1989,DHS,5203,5059,,,
KEN,527550,Number of children one to four years of age,5203,0,KE,Kenya,1989,KE1989DHS,CH_VAC1_C_NUM,93936270,D,1000,0,Total,Total,0,,1,1,CHVAC1CNUM,,1989,DHS,,5059,,,
KEN,308044,Number of children one to four years of age (unweighted),5059,0,KE,Kenya,1989,KE1989DHS,CH_VAC1_C_UNW,93936280,U,1000,0,Total,Total,0,,1,1,CHVAC1CUNW,,1989,DHS,5203,,,,
KEN,455984,BCG vaccination received,96.2,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_BCG,93886010,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCBCG,,1993,DHS,1124,1116,,,
KEN,475475,BCG vaccination received,95.8,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_BCG,93886010,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCBCG,,1993,DHS,1126,1123,,,
KEN,455985,DPT 1 vaccination received,95.9,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_DP1,93886020,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP1,,1993,DHS,1124,1116,,,
KEN,475476,DPT 1 vaccination received,95.7,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_DP1,93886020,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP1,,1993,DHS,1126,1123,,,
KEN,455986,DPT 2 vaccination received,92.6,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_DP2,93886030,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP2,,1993,DHS,1124,1116,,,
KEN,475477,DPT 2 vaccination received,92.8,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_DP2,93886030,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP2,,1993,DHS,1126,1123,,,
KEN,455976,DPT 3 vaccination received,86.8,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_DP3,93886040,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP3,,1993,DHS,1124,1116,,,
KEN,475443,DPT 3 vaccination received,84.9,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_DP3,93886040,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP3,,1993,DHS,1126,1123,,,
KEN,455993,Polio 1 vaccination received,95.4,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_OP1,93886060,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP1,,1993,DHS,1124,1116,,,
KEN,475444,Polio 1 vaccination received,95.4,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_OP1,93886060,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP1,,1993,DHS,1126,1123,,,
KEN,455989,Polio 2 vaccination received,92.4,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_OP2,93886070,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP2,,1993,DHS,1124,1116,,,
KEN,475478,Polio 2 vaccination received,92.3,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_OP2,93886070,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP2,,1993,DHS,1126,1123,,,
KEN,455987,Polio 3 vaccination received,85.7,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_OP3,93886080,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP3,,1993,DHS,1124,1116,,,
KEN,475447,Polio 3 vaccination received,84.3,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_OP3,93886080,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP3,,1993,DHS,1126,1123,,,
KEN,455988,Measles vaccination received,83.8,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_MSL,93886090,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCMSL,,1993,DHS,1124,1116,,,
KEN,475448,Measles vaccination received,84.2,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_MSL,93886090,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCMSL,,1993,DHS,1126,1123,,,
KEN,455991,Fully vaccinated (8 basic antigens),78.2,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_BAS,93886230,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCBAS,,1993,DHS,1124,1116,,,
KEN,475445,Fully vaccinated (8 basic antigens),76.5,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_BAS,93886230,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCBAS,,1993,DHS,1126,1123,,,
KEN,455992,Received no vaccinations,3.3,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_NON,93886250,I,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCNON,,1993,DHS,1124,1116,,,
KEN,475446,Received no vaccinations,3.6,1,KE,Kenya,1993,KE1993DHS,CH_VACS_C_NON,93886250,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCNON,,1993,DHS,1126,1123,,,
KEN,450389,Number of children 12-23 months,1124,0,KE,Kenya,1993,KE1993DHS,CH_VACS_C_NUM,93886260,D,268002,268002,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCNUM,,1993,DHS,,1116,,,
