ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,541014,Households with salt tested for iodine content,94.5,1,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_SLT,104531010,I,1000,0,Total,Total,0,,1,1,CNIODZHSLT,,2008-09,DHS,9057,9057,,,
KEN,541013,Households with no salt,4.8,1,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_NSL,104531020,I,1000,0,Total,Total,0,,1,1,CNIODZHNSL,,2008-09,DHS,9057,9057,,,
KEN,549328,Number of households,9057,0,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_NM1,104531030,D,1000,0,Total,Total,0,,1,1,CNIODZHNM1,,2008-09,DHS,,9057,,,
KEN,277299,Number of households (unweighted),9057,0,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_UN1,104531040,U,1000,0,Total,Total,0,,1,1,CNIODZHUN1,,2008-09,DHS,9057,,,,
KEN,756438,Households with iodized salt,99.8,1,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2008-09,DHS,8562,8516,,,
KEN,759372,Number of households with salt tested,8562,0,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_NM2,104531060,D,1000,0,Total,Total,0,,1,1,CNIODZHNM2,,2008-09,DHS,,8516,,,
KEN,335957,Number of households with salt tested (unweighted),8516,0,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_UN2,104531070,U,1000,0,Total,Total,0,,1,1,CNIODZHUN2,,2008-09,DHS,8562,,,,
KEN,494214,Households with salt tested for iodine content,93.7,1,KE,Kenya,2014,KE2014DHS,CN_IODZ_H_SLT,104531010,I,1000,0,Total,Total,0,,1,1,CNIODZHSLT,,2014,DHS,36430,36430,,,
KEN,494213,Households with no salt,5.2,1,KE,Kenya,2014,KE2014DHS,CN_IODZ_H_NSL,104531020,I,1000,0,Total,Total,0,,1,1,CNIODZHNSL,,2014,DHS,36430,36430,,,
KEN,503766,Number of households,36430,0,KE,Kenya,2014,KE2014DHS,CN_IODZ_H_NM1,104531030,D,1000,0,Total,Total,0,,1,1,CNIODZHNM1,,2014,DHS,,36430,,,
KEN,257293,Number of households (unweighted),36430,0,KE,Kenya,2014,KE2014DHS,CN_IODZ_H_UN1,104531040,U,1000,0,Total,Total,0,,1,1,CNIODZHUN1,,2014,DHS,36430,,,,
KEN,751607,Households with iodized salt,99.5,1,KE,Kenya,2014,KE2014DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2014,DHS,34139,33710,,,
KEN,754811,Number of households with salt tested,34139,0,KE,Kenya,2014,KE2014DHS,CN_IODZ_H_NM2,104531060,D,1000,0,Total,Total,0,,1,1,CNIODZHNM2,,2014,DHS,,33710,,,
KEN,330114,Number of households with salt tested (unweighted),33710,0,KE,Kenya,2014,KE2014DHS,CN_IODZ_H_UN2,104531070,U,1000,0,Total,Total,0,,1,1,CNIODZHUN2,,2014,DHS,34139,,,,
KEN,722517,Households with salt tested for iodine content,95,1,KE,Kenya,2022,KE2022DHS,CN_IODZ_H_SLT,104531010,I,1000,0,Total,Total,0,,1,1,CNIODZHSLT,,2022,DHS,37911,37911,,,
KEN,722519,Households with no salt,4.9,1,KE,Kenya,2022,KE2022DHS,CN_IODZ_H_NSL,104531020,I,1000,0,Total,Total,0,,1,1,CNIODZHNSL,,2022,DHS,37911,37911,,,
KEN,724933,Number of households,37911,0,KE,Kenya,2022,KE2022DHS,CN_IODZ_H_NM1,104531030,D,1000,0,Total,Total,0,,1,1,CNIODZHNM1,,2022,DHS,,37911,,,
KEN,311885,Number of households (unweighted),37911,0,KE,Kenya,2022,KE2022DHS,CN_IODZ_H_UN1,104531040,U,1000,0,Total,Total,0,,1,1,CNIODZHUN1,,2022,DHS,37911,,,,
KEN,645058,Households with iodized salt,99.6,1,KE,Kenya,2022,KE2022DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2022,DHS,36002,35735,,,
KEN,654103,Number of households with salt tested,36002,0,KE,Kenya,2022,KE2022DHS,CN_IODZ_H_NM2,104531060,D,1000,0,Total,Total,0,,1,1,CNIODZHNM2,,2022,DHS,,35735,,,
KEN,338037,Number of households with salt tested (unweighted),35735,0,KE,Kenya,2022,KE2022DHS,CN_IODZ_H_UN2,104531070,U,1000,0,Total,Total,0,,1,1,CNIODZHUN2,,2022,DHS,36002,,,,
