ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,760422,Children ever breastfed,97.8,1,KE,Kenya,1989,KE1989DHS,CN_BRFI_C_EVR,104266010,I,1000,0,Total,Total,0,,1,1,CNBRFICEVR,,1989,DHS,2701,2658,,,
KEN,516014,Children exclusively breastfed,23,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1989,DHS,672,671,,,
KEN,516008,Children breastfeeding and consuming plain water only,17.1,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_WAT,104306030,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCWAT,,1989,DHS,672,671,,,
KEN,516011,Children breastfeeding and consuming complementary foods,23.7,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_CMP,104306060,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCCMP,,1989,DHS,672,671,,,
KEN,516013,Children currently breastfeeding,98.3,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1989,DHS,672,671,,,
KEN,676913,Children using a bottle with a nipple,23.1,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_BNP,104306110,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBNP,,1989,DHS,678,680,,,
KEN,53281,Median duration of any breastfeeding,19.9,1,KE,Kenya,1989,KE1989DHS,CN_BFDR_C_MDA,104336010,I,1000,0,Total,Total,0,,1,1,CNBFDRCMDA,,1989,DHS,,,,,
KEN,580815,Children ever breastfed,97.3,1,KE,Kenya,1993,KE1993DHS,CN_BRFI_C_EVR,104266010,I,1000,0,Total,Total,0,,1,1,CNBRFICEVR,,1993,DHS,2307,2305,,,
KEN,662750,Children exclusively breastfed,17,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1993,DHS,514,518,,,
KEN,662757,Children breastfeeding and consuming plain water only,17.1,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_WAT,104306030,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCWAT,,1993,DHS,514,518,,,
KEN,662743,Children breastfeeding and consuming complementary foods,48,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_CMP,104306060,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCCMP,,1993,DHS,514,518,,,
KEN,662756,Children currently breastfeeding,98.4,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1993,DHS,514,518,,,
