ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,56583,Women with secondary or higher education,29.3,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWSCH,,2003,DHS,8195,8195,,,
KEN,56584,Women who can read a whole sentence,42.1,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDW,,2003,DHS,8195,8195,,,
KEN,56585,Women who can read part of a sentence,7.1,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWRDP,,2003,DHS,8195,8195,,,
KEN,56588,Women who cannot read at all,21.2,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNRD,,2003,DHS,8195,8195,,,
KEN,56586,Women for whom no card with required language was available,0,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNCD,,2003,DHS,8195,8195,,,
KEN,56587,Women with missing information on literacy,0.3,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWMIS,,2003,DHS,8195,8195,,,
KEN,56627,Women's literacy: Total,100,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWTOT,,2003,DHS,8195,8195,,,
KEN,56628,Women who are literate,78.5,1,KE,Kenya,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2003,DHS,8195,8195,,,
KEN,56659,Number of women,8195,0,KE,Kenya,2003,KE2003DHS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWNUM,,2003,DHS,,8195,,,
KEN,56625,Number of women (unweighted),8195,0,KE,Kenya,2003,KE2003DHS,ED_LITR_W_UNW,231233110,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWUNW,,2003,DHS,8195,,,,
KEN,194841,Men with secondary or higher education,37.3,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMSCH,,2003,DHS,3363,3348,,,
KEN,194811,Men who can read a whole sentence,45.9,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDW,,2003,DHS,3363,3348,,,
KEN,194842,Men who can read part of a sentence,5.7,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMRDP,,2003,DHS,3363,3348,,,
KEN,194822,Men who cannot read at all,11,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNRD,,2003,DHS,3363,3348,,,
KEN,194808,Men for whom no card with required language was available,0,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNCD,,2003,DHS,3363,3348,,,
KEN,194809,Men with missing information on literacy,0.1,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMMIS,,2003,DHS,3363,3348,,,
KEN,194810,Men's literacy: Total,100,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMTOT,,2003,DHS,3363,3348,,,
KEN,194823,Men who are literate,88.9,1,KE,Kenya,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2003,DHS,3363,3348,,,
KEN,56626,Number of men,3363,0,KE,Kenya,2003,KE2003DHS,ED_LITR_M_NUM,231234210,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMNUM,,2003,DHS,,3348,,,
KEN,194824,Number of men (unweighted),3348,0,KE,Kenya,2003,KE2003DHS,ED_LITR_M_UNW,231234220,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMUNW,,2003,DHS,3363,,,,
KEN,593760,Women with secondary or higher education,34.3,1,KE,Kenya,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWSCH,,2008-09,DHS,8444,8444,,,
