ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,646727,Men circumcised,83.7,1,KE,Kenya,2003,KE2003DHS,HA_MCRC_M_MCC,135634010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMCRCMMCC,,2003,DHS,3363,3348,,,
KEN,655943,Number of men,3363,0,KE,Kenya,2003,KE2003DHS,HA_MCRC_M_NUM,135634020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMCRCMNUM,,2003,DHS,,3348,,,
KEN,320466,Number of men (unweighted),3348,0,KE,Kenya,2003,KE2003DHS,HA_MCRC_M_UNW,135634030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMCRCMUNW,,2003,DHS,3363,,,,
KEN,461830,Circumcised men HIV positive,3.1,1,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_HVC,136064010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMHVC,,2003,DHS,2372,2286,,,
KEN,466874,Number of circumcised men,2372,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_NM1,136064020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMNM1,,2003,DHS,,2286,,,
KEN,239854,Number of circumcised men (unweighted),2286,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_UN1,136064030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMUN1,,2003,DHS,2372,,,,
KEN,729399,Uncircumcised men HIV positive,11.5,1,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_HVU,136064040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMHVU,,2003,DHS,475,434,,,
KEN,729398,Number of uncircumcised men,475,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_NM2,136064050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMNM2,,2003,DHS,,434,,,
KEN,185271,Number of uncircumcised men (unweighted),434,0,KE,Kenya,2003,KE2003DHS,HA_HPMC_M_UN2,136064060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMUN2,,2003,DHS,475,,,,
KEN,477065,Men circumcised,85.8,1,KE,Kenya,2008,KE2008DHS,HA_MCRC_M_MCC,135634010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAMCRCMMCC,,2008-09,DHS,3258,3256,,,
