ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,13190,Female deaths that are pregnancy-related,27,1,KE,Kenya,1998,KE1998DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,1998,DHS,,,,,
KEN,13173,Number of pregnancy-related deaths,143,0,KE,Kenya,1998,KE1998DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,1998,DHS,,,,,
KEN,547722,Years of exposure to the risk of mortality for women,113302,0,KE,Kenya,1998,KE1998DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,1998,DHS,,112713,,,
KEN,547723,Years of exposure to the risk of mortality for women (unweighted),112713,0,KE,Kenya,1998,KE1998DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,1998,DHS,,112713,,,
KEN,247525,Pregnancy-related mortality rate,1.19,2,KE,Kenya,1998,KE1998DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,1998,DHS,113302,112713,,,
KEN,13198,General fertility rate,160,0,KE,Kenya,1998,KE1998DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,1998,DHS,,,,,
KEN,801306,Pregnancy-related mortality ratio,743,0,KE,Kenya,1998,KE1998DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,1998,DHS,,,591,895,
KEN,13199,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),591,0,KE,Kenya,1998,KE1998DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,1998,DHS,,,,,
KEN,13201,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),895,0,KE,Kenya,1998,KE1998DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,1998,DHS,,,,,
KEN,13200,Lifetime risk of pregnancy-related death,0.036,3,KE,Kenya,1998,KE1998DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,1998,DHS,,,,,
KEN,13212,Female deaths that are pregnancy-related,13.5,1,KE,Kenya,2003,KE2003DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2003,DHS,,,,,
KEN,13214,Number of pregnancy-related deaths,103,0,KE,Kenya,2003,KE2003DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2003,DHS,,,,,
KEN,609539,Years of exposure to the risk of mortality for women,115971,0,KE,Kenya,2003,KE2003DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2003,DHS,,115690,,,
KEN,609540,Years of exposure to the risk of mortality for women (unweighted),115690,0,KE,Kenya,2003,KE2003DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2003,DHS,,115690,,,
KEN,481858,Pregnancy-related mortality rate,0.83,2,KE,Kenya,2003,KE2003DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2003,DHS,115971,115690,,,
KEN,13217,General fertility rate,165,0,KE,Kenya,2003,KE2003DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2003,DHS,,,,,
KEN,813706,Pregnancy-related mortality ratio,506,0,KE,Kenya,2003,KE2003DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2003,DHS,,,398,614,
KEN,13218,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),398,0,KE,Kenya,2003,KE2003DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2003,DHS,,,,,
KEN,13220,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),614,0,KE,Kenya,2003,KE2003DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2003,DHS,,,,,
KEN,13219,Lifetime risk of pregnancy-related death,0.025,3,KE,Kenya,2003,KE2003DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2003,DHS,,,,,
KEN,13280,Female deaths that are pregnancy-related,14.6,1,KE,Kenya,2008,KE2008DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2008-09,DHS,,,,,
KEN,13282,Number of pregnancy-related deaths,99,0,KE,Kenya,2008,KE2008DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2008-09,DHS,,,,,
KEN,626046,Years of exposure to the risk of mortality for women,117126,0,KE,Kenya,2008,KE2008DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2008-09,DHS,,111333,,,
KEN,626047,Years of exposure to the risk of mortality for women (unweighted),111333,0,KE,Kenya,2008,KE2008DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2008-09,DHS,,111333,,,
KEN,13383,Pregnancy-related mortality rate,0.82,2,KE,Kenya,2008,KE2008DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2008-09,DHS,117126,111333,,,
KEN,13290,General fertility rate,157,0,KE,Kenya,2008,KE2008DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2008-09,DHS,,,,,
KEN,773754,Pregnancy-related mortality ratio,520,0,KE,Kenya,2008,KE2008DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2008-09,DHS,,,343,696,
KEN,13296,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),343,0,KE,Kenya,2008,KE2008DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2008-09,DHS,,,,,
KEN,13295,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),696,0,KE,Kenya,2008,KE2008DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2008-09,DHS,,,,,
KEN,13298,Lifetime risk of pregnancy-related death,0.025,3,KE,Kenya,2008,KE2008DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2008-09,DHS,,,,,
KEN,21148,Female deaths that are pregnancy-related,14.1,1,KE,Kenya,2014,KE2014DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2014,DHS,,,,,
KEN,21149,Number of pregnancy-related deaths,106,0,KE,Kenya,2014,KE2014DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2014,DHS,,,,,
KEN,706671,Years of exposure to the risk of mortality for women,199731,0,KE,Kenya,2014,KE2014DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2014,DHS,,201204,,,
KEN,706672,Years of exposure to the risk of mortality for women (unweighted),201204,0,KE,Kenya,2014,KE2014DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2014,DHS,,201204,,,
KEN,21321,Pregnancy-related mortality rate,0.51,2,KE,Kenya,2014,KE2014DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2014,DHS,199731,201204,,,
KEN,21308,General fertility rate,142,0,KE,Kenya,2014,KE2014DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2014,DHS,,,,,
KEN,91536,Pregnancy-related mortality ratio,362,0,KE,Kenya,2014,KE2014DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2014,DHS,,,254,471,
KEN,21318,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),254,0,KE,Kenya,2014,KE2014DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2014,DHS,,,,,
KEN,21304,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),471,0,KE,Kenya,2014,KE2014DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2014,DHS,,,,,
KEN,21319,Lifetime risk of pregnancy-related death,0.015,3,KE,Kenya,2014,KE2014DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2014,DHS,,,,,
