ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,360515,Desire for more children [Men]: Have another soon,20.4,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_ASN,22194120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,PRDESCMASN,,1993,DHS,1511,1483,,,
KEN,360521,Desire for more children [Men]: Have another later,26.2,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_ALT,22194130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,PRDESCMALT,,1993,DHS,1511,1483,,,
KEN,360522,"Desire for more children [Men]: Wants, unsure timing",3.5,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_AUN,22194140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,PRDESCMAUN,,1993,DHS,1511,1483,,,
KEN,360523,Desire for more children [Men]: Undecided,7.8,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_UND,22194150,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,PRDESCMUND,,1993,DHS,1511,1483,,,
KEN,360517,Desire for more children [Men]: Wants no more,36.1,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_WNM,22194160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,PRDESCMWNM,,1993,DHS,1511,1483,,,
KEN,360519,Desire for more children [Men]: Sterilized,4.6,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_STR,22194170,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,PRDESCMSTR,,1993,DHS,1511,1483,,,
KEN,360518,Desire for more children [Men]: Declared infecund,1.2,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_INF,22194180,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,PRDESCMINF,,1993,DHS,1511,1483,,,
KEN,28179,Men who want no more children,40.7,1,KE,Kenya,1993,KE1993DHS,PR_DESL_M_WNM,22204040,I,10000,10000,Total 15-49,Total 15-49,1000,Total,1,1,PRDESLMWNM,,1993,DHS,,1483,,,
KEN,656559,Men who want no more children,5.5,1,KE,Kenya,1993,KE1993DHS,PR_DESL_M_WNM,22204040,I,10000,10000,Total 15-49,Total 15-49,189001,Living children: 1,1,0,PRDESLMWNM,,1993,DHS,,177,,,
KEN,28215,Men who want no more children,21.3,1,KE,Kenya,1993,KE1993DHS,PR_DESL_M_WNM,22204040,I,10000,10000,Total 15-49,Total 15-49,189002,Living children: 2,1,0,PRDESLMWNM,,1993,DHS,,215,,,
