ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,649563,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,69.7,1,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_VAF,104506010,I,1000,0,Total,Total,0,,1,1,CNMIACCVAF,,2008-09,DHS,1612,1656,,,
KEN,657960,Number of youngest children age 6-23 months living with mother,1612,0,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_NM1,104506030,D,1000,0,Total,Total,0,,1,1,CNMIACCNM1,,2008-09,DHS,,1656,,,
KEN,313767,Number of youngest children age 6-23 months living with mother (unweighted),1656,0,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_UN1,104506040,U,1000,0,Total,Total,0,,1,1,CNMIACCUN1,,2008-09,DHS,1612,,,,
KEN,295746,Children consuming vitamin A supplements,30.3,1,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_VAS,104506050,I,1000,0,Total,Total,0,,1,1,CNMIACCVAS,,2008-09,DHS,4946,5111,,,
KEN,295744,Children given iron supplements in past 7 days,4.8,1,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_IRS,104506060,I,1000,0,Total,Total,0,,1,1,CNMIACCIRS,,2008-09,DHS,4946,5111,,,
KEN,295745,Children given deworming medication in past 6 months,37.5,1,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_DWM,104506070,I,1000,0,Total,Total,0,,1,1,CNMIACCDWM,,2008-09,DHS,4946,5111,,,
KEN,44031,Number of children age 6-59 months,4946,0,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_NM2,104506080,D,1000,0,Total,Total,0,,1,1,CNMIACCNM2,,2008-09,DHS,,5111,,,
KEN,295732,Number of children age 6-59 months (unweighted),5111,0,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_UN2,104506090,U,1000,0,Total,Total,0,,1,1,CNMIACCUN2,,2008-09,DHS,4946,,,,
KEN,317409,Number of children under five (unweighted),5111,0,KE,Kenya,2008,KE2008DHS,CN_MIAC_C_UN3,104506120,U,1000,0,Total,Total,0,,1,1,CNMIACCUN3,,2008-09,DHS,,,,,
KEN,44054,Women with a birth in the past five years who received a vitamin A dose in the first two months after delivery,45.8,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_VAP,114633010,I,1000,0,Total,Total,0,,1,1,ANMIAMWVAP,,2008-09,DHS,3973,4082,,,
KEN,44050,Women with a birth in the past five years who took no iron tablets or syrup,30.9,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_NON,114633020,I,1000,0,Total,Total,0,,1,1,ANMIAMWNON,,2008-09,DHS,3973,4082,,,
KEN,44051,Women with a birth in the past five years who took iron tablets or syrup for <60 days,54.2,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_L60,114633030,I,1000,0,Total,Total,0,,1,1,ANMIAMWL60,,2008-09,DHS,3973,4082,,,
KEN,44052,Women with a birth in the past five years who took iron tablets or syrup for 60-89 days,3.1,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_L89,114633040,I,1000,0,Total,Total,0,,1,1,ANMIAMWL89,,2008-09,DHS,3973,4082,,,
KEN,44053,Women with a birth in the past five years who took iron tablets or syrup for 90+ days,2.5,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_90P,114633050,I,1000,0,Total,Total,0,,1,1,ANMIAMW90P,,2008-09,DHS,3973,4082,,,
KEN,44060,Women with a birth in the past five years with 'Don't know' or missing information on iron tablets or syrup,9.4,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_DKM,114633060,S,1000,0,Total,Total,0,,1,1,ANMIAMWDKM,,2008-09,DHS,3973,4082,,,
KEN,44058,Women with a birth in the past five years: Total,100,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_TOT,114633070,T,1000,0,Total,Total,0,,1,1,ANMIAMWTOT,,2008-09,DHS,3973,4082,,,
KEN,44061,Women with a birth in the past five years who took deworming medication during pregnancy of last birth,17,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_DWM,114633080,I,1000,0,Total,Total,0,,1,1,ANMIAMWDWM,,2008-09,DHS,3973,4082,,,
KEN,44059,Women with a birth in the past five years suffering from night blindness during pregnancy (adjusted),1.5,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_NBR,114633090,I,1000,0,Total,Total,0,,1,1,ANMIAMWNBR,,2008-09,DHS,3973,4082,,,
KEN,44062,Women with a birth in the past five years suffering from night blindness during pregnancy (reported),6.3,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_NBA,114633100,I,1000,0,Total,Total,0,,1,1,ANMIAMWNBA,,2008-09,DHS,3973,4082,,,
KEN,44056,Number of women with a birth in the past five years,3973,0,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_NUM,114633110,D,1000,0,Total,Total,0,,1,1,ANMIAMWNUM,,2008-09,DHS,,4082,,,
KEN,44057,Number of women with a birth in the past five years (unweighted),4082,0,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_UNW,114633120,U,1000,0,Total,Total,0,,1,1,ANMIAMWUNW,,2008-09,DHS,3973,,,,
