ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,675107,Number of households,7950,0,KE,Kenya,1993,KE1993DHS,HC_ORPH_H_NUM,260861050,D,1000,0,Total,Total,0,,1,1,HCORPHHNUM,,1993,DHS,,7950,,,
KEN,326874,Number of households (unweighted),7950,0,KE,Kenya,1993,KE1993DHS,HC_ORPH_H_UNW,260861060,U,1000,0,Total,Total,0,,1,1,HCORPHHUNW,,1993,DHS,7950,,,,
KEN,482271,Number of households,8380,0,KE,Kenya,1998,KE1998DHS,HC_ORPH_H_NUM,260861050,D,1000,0,Total,Total,0,,1,1,HCORPHHNUM,,1998,DHS,,8380,,,
KEN,287465,Number of households (unweighted),8380,0,KE,Kenya,1998,KE1998DHS,HC_ORPH_H_UNW,260861060,U,1000,0,Total,Total,0,,1,1,HCORPHHUNW,,1998,DHS,8380,,,,
KEN,473275,Number of households,8561,0,KE,Kenya,2003,KE2003DHS,HC_ORPH_H_NUM,260861050,D,1000,0,Total,Total,0,,1,1,HCORPHHNUM,,2003,DHS,,8561,,,
KEN,218453,Number of households (unweighted),8561,0,KE,Kenya,2003,KE2003DHS,HC_ORPH_H_UNW,260861060,U,1000,0,Total,Total,0,,1,1,HCORPHHUNW,,2003,DHS,8561,,,,
KEN,6211,Number of households,9057,0,KE,Kenya,2008,KE2008DHS,HC_ORPH_H_NUM,260861050,D,1000,0,Total,Total,0,,1,1,HCORPHHNUM,,2008-09,DHS,,9057,,,
KEN,6190,Number of households (unweighted),9057,0,KE,Kenya,2008,KE2008DHS,HC_ORPH_H_UNW,260861060,U,1000,0,Total,Total,0,,1,1,HCORPHHUNW,,2008-09,DHS,9057,,,,
KEN,579651,Households with children not living with a biological parent,16.9,1,KE,Kenya,2014,KE2014DHS,HC_ORPH_H_FOS,260861010,I,1000,0,Total,Total,0,,1,1,HCORPHHFOS,,2014,DHS,36430,36430,,,
KEN,579654,Households with double orphans,1.6,1,KE,Kenya,2014,KE2014DHS,HC_ORPH_H_DBL,260861020,I,1000,0,Total,Total,0,,1,1,HCORPHHDBL,,2014,DHS,36430,36430,,,
