ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,773372,Under-five mortality rate,90,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1989,DHS,,,77,102,
KEN,117650,Under-five mortality rate,91,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1989,DHS,,,79,103,
KEN,772275,Under-five mortality rate,96,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1993,DHS,,,86,107,
KEN,776829,Under-five mortality rate,93,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1993,DHS,,,84,102,
KEN,808462,Under-five mortality rate,111,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1998,DHS,,,97,126,
KEN,811157,Under-five mortality rate,105,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1998,DHS,,,94,117,
KEN,780409,Under-five mortality rate,115,0,KE,Kenya,2003,KE2003DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2003,DHS,,,100,129,
KEN,815486,Under-five mortality rate,113,0,KE,Kenya,2003,KE2003DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2003,DHS,,,101,125,
KEN,367735,Households with at least one insecticide-treated mosquito net (ITN),7.7,1,KE,Kenya,2003,KE2003DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2003,DHS,8561,8561,,,
KEN,648828,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,3.6,1,KE,Kenya,2003,KE2003DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2003,DHS,8504,8498,,,
KEN,735980,Households with at least one insecticide-treated mosquito net (ITN) and/or indoor residual spraying (IRS) in the past 12 months,7.7,1,KE,Kenya,2003,KE2003DHS,ML_IRSM_H_IIR,124701020,I,1000,0,Total,Total,0,,1,1,MLIRSMHIIR,,2003,DHS,8561,8561,,,
KEN,735981,Households with at least one insecticide-treated mosquito net (ITN) for every two persons and/or indoor residual spraying (IRS) in the past 12 months,3.6,1,KE,Kenya,2003,KE2003DHS,ML_IRSM_H_I2I,124701030,I,1000,0,Total,Total,0,,1,1,MLIRSMHI2I,,2003,DHS,8561,8561,,,
KEN,316196,Persons with access to an insecticide-treated mosquito net (ITN),5,1,KE,Kenya,2003,KE2003DHS,ML_ITNA_P_ACC,124732130,I,1000,0,Total,Total,0,,1,1,MLITNAPACC,,2003,DHS,37128,36464,,,
KEN,611384,Population who slept under an insecticide-treated mosquito net (ITN) last night,4.7,1,KE,Kenya,2003,KE2003DHS,ML_NETU_P_ITN,124762020,I,1000,0,Total,Total,0,,1,1,MLNETUPITN,,2003,DHS,37128,36464,,,
KEN,750698,Existing insecticide-treated mosquito nets (ITNs) used last night,89.5,1,KE,Kenya,2003,KE2003DHS,ML_ITNU_N_ITN,124807010,I,1000,0,Total,Total,0,,1,1,MLITNUNITN,,2003,DHS,1122,1241,,,
KEN,650385,Children under 5 who slept under an insecticide-treated net (ITN),6,1,KE,Kenya,2003,KE2003DHS,ML_NETC_C_ITN,124836020,I,1000,0,Total,Total,0,,1,1,MLNETCCITN,,2003,DHS,5920,5717,,,
KEN,364150,Pregnant women who slept under an insecticide-treated net (ITN),5.4,1,KE,Kenya,2003,KE2003DHS,ML_NETW_W_ITN,124863020,I,1000,0,Total,Total,0,,1,1,MLNETWWITN,,2003,DHS,647,637,,,
KEN,171509,SP/Fansidar 3+ doses during pregnancy,3.1,1,KE,Kenya,2003,KE2003DHS,ML_IPTP_W_3SP,124903025,I,1000,0,Total,Total,0,,1,1,MLIPTPW3SP,,2003,DHS,2416,2357,,,
KEN,334255,Children with fever for whom advice or treatment was sought,67.8,1,KE,Kenya,2003,KE2003DHS,ML_FEVT_C_ADV,124966010,I,1000,0,Total,Total,0,,1,1,MLFEVTCADV,,2003,DHS,2255,2215,,,
KEN,118137,Under-five mortality rate,74,0,KE,Kenya,2008,KE2008DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2008-09,DHS,,,62,86,
KEN,770129,Under-five mortality rate,84,0,KE,Kenya,2008,KE2008DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2008-09,DHS,,,73,95,
KEN,248183,Households with at least one insecticide-treated mosquito net (ITN),55.7,1,KE,Kenya,2008,KE2008DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2008-09,DHS,9057,9057,,,
KEN,453555,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,27.1,1,KE,Kenya,2008,KE2008DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2008-09,DHS,9027,9023,,,
KEN,523486,Households with at least one insecticide-treated mosquito net (ITN) and/or indoor residual spraying (IRS) in the past 12 months,55.7,1,KE,Kenya,2008,KE2008DHS,ML_IRSM_H_IIR,124701020,I,1000,0,Total,Total,0,,1,1,MLIRSMHIIR,,2008-09,DHS,9057,9057,,,
KEN,523487,Households with at least one insecticide-treated mosquito net (ITN) for every two persons and/or indoor residual spraying (IRS) in the past 12 months,27,1,KE,Kenya,2008,KE2008DHS,ML_IRSM_H_I2I,124701030,I,1000,0,Total,Total,0,,1,1,MLIRSMHI2I,,2008-09,DHS,9057,9057,,,
KEN,542105,Persons with access to an insecticide-treated mosquito net (ITN),42.3,1,KE,Kenya,2008,KE2008DHS,ML_ITNA_P_ACC,124732130,I,1000,0,Total,Total,0,,1,1,MLITNAPACC,,2008-09,DHS,38019,37790,,,
KEN,522657,Population who slept under an insecticide-treated mosquito net (ITN) last night,35.1,1,KE,Kenya,2008,KE2008DHS,ML_NETU_P_ITN,124762020,I,1000,0,Total,Total,0,,1,1,MLNETUPITN,,2008-09,DHS,38019,37790,,,
KEN,267180,Existing insecticide-treated mosquito nets (ITNs) used last night,75.5,1,KE,Kenya,2008,KE2008DHS,ML_ITNU_N_ITN,124807010,I,1000,0,Total,Total,0,,1,1,MLITNUNITN,,2008-09,DHS,9620,10349,,,
KEN,467811,Children under 5 who slept under an insecticide-treated net (ITN),46.7,1,KE,Kenya,2008,KE2008DHS,ML_NETC_C_ITN,124836020,I,1000,0,Total,Total,0,,1,1,MLNETCCITN,,2008-09,DHS,5953,6098,,,
