ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,130877,Age specific fertility rate: 10-14,2,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A10,11763005,I,1000,0,Total,Total,0,,1,1,FEFRTRWA10,,1989,DHS,,,,,
KEN,130878,Age specific fertility rate: 15-19,153,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1989,DHS,,,,,
KEN,415195,Women first married by exact age 15,19.7,1,KE,Kenya,1989,KE1989DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1989,DHS,4332,4267,,,
KEN,415196,Women first married by exact age 18,48.7,1,KE,Kenya,1989,KE1989DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1989,DHS,4332,4267,,,
KEN,782066,Neonatal mortality rate,28,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1989,DHS,,,23,32,
KEN,771903,Neonatal mortality rate,25,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1989,DHS,,,21,29,
KEN,773372,Under-five mortality rate,90,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1989,DHS,,,77,102,
KEN,117650,Under-five mortality rate,91,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1989,DHS,,,79,103,
KEN,388777,Assistance during delivery from a skilled provider,50.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1989,DHS,4388,4298,,,
KEN,435106,Assistance during delivery from a skilled provider,50.1,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1989,DHS,7127,6980,,,
KEN,813856,Assistance during delivery from a skilled provider,51.9,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1989,DHS,2875,2836,,,
KEN,359012,DPT 3 vaccination received,55.1,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_DP3,93906040,I,1000,0,Total,Total,0,,1,1,CHVACCCDP3,,1989,DHS,1315,1302,,,
KEN,130946,Age specific fertility rate: 10-14,3,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A10,11763005,I,1000,0,Total,Total,0,,1,1,FEFRTRWA10,,1993,DHS,,,,,
KEN,130954,Age specific fertility rate: 15-19,110,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1993,DHS,,,,,
