ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,415195,Women first married by exact age 15,19.7,1,KE,Kenya,1989,KE1989DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1989,DHS,4332,4267,,,
KEN,415196,Women first married by exact age 18,48.7,1,KE,Kenya,1989,KE1989DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1989,DHS,4332,4267,,,
KEN,204538,Women first married by exact age 15,12.9,1,KE,Kenya,1993,KE1993DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1993,DHS,4148,4147,,,
KEN,204539,Women first married by exact age 18,41.7,1,KE,Kenya,1993,KE1993DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1993,DHS,4148,4147,,,
KEN,464794,Men first married by exact age 15,0.4,1,KE,Kenya,1993,KE1993DHS,MA_MBAG_M_B15,41604100,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB15,,1993,DHS,1645,1644,,,
KEN,464795,Men first married by exact age 18,4,1,KE,Kenya,1993,KE1993DHS,MA_MBAG_M_B18,41604110,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB18,,1993,DHS,1645,1644,,,
KEN,758060,Women with secondary or higher education,24.5,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1993,DHS,7540,7540,,,
KEN,457793,Men with secondary or higher education,39.7,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,1993,DHS,2171,2170,,,
KEN,504380,Women first married by exact age 15,13.2,1,KE,Kenya,1998,KE1998DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1998,DHS,4482,4487,,,
KEN,504381,Women first married by exact age 18,38.7,1,KE,Kenya,1998,KE1998DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1998,DHS,4482,4487,,,
KEN,722633,Men first married by exact age 15,1.7,1,KE,Kenya,1998,KE1998DHS,MA_MBAG_M_B15,41604100,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB15,,1998,DHS,1824,1804,,,
KEN,722634,Men first married by exact age 18,5.7,1,KE,Kenya,1998,KE1998DHS,MA_MBAG_M_B18,41604110,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB18,,1998,DHS,1824,1804,,,
KEN,386668,Women circumcised (FGC),37.6,1,KE,Kenya,1998,KE1998DHS,FG_PFCC_W_WCC,207503010,I,1000,0,Total,Total,0,,1,1,FGPFCCWWCC,,1998,DHS,7881,7881,,,
