ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,367735,Households with at least one insecticide-treated mosquito net (ITN),7.7,1,KE,Kenya,2003,KE2003DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2003,DHS,8561,8561,,,
KEN,648828,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,3.6,1,KE,Kenya,2003,KE2003DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2003,DHS,8504,8498,,,
KEN,316196,Persons with access to an insecticide-treated mosquito net (ITN),5,1,KE,Kenya,2003,KE2003DHS,ML_ITNA_P_ACC,124732130,I,1000,0,Total,Total,0,,1,1,MLITNAPACC,,2003,DHS,37128,36464,,,
KEN,611384,Population who slept under an insecticide-treated mosquito net (ITN) last night,4.7,1,KE,Kenya,2003,KE2003DHS,ML_NETU_P_ITN,124762020,I,1000,0,Total,Total,0,,1,1,MLNETUPITN,,2003,DHS,37128,36464,,,
KEN,650385,Children under 5 who slept under an insecticide-treated net (ITN),6,1,KE,Kenya,2003,KE2003DHS,ML_NETC_C_ITN,124836020,I,1000,0,Total,Total,0,,1,1,MLNETCCITN,,2003,DHS,5920,5717,,,
KEN,319527,Children under 5 who slept under an insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,71.8,1,KE,Kenya,2003,KE2003DHS,ML_NETC_C_IT1,124836070,I,1000,0,Total,Total,0,,1,1,MLNETCCIT1,,2003,DHS,495,521,,,
KEN,364150,Pregnant women who slept under an insecticide-treated net (ITN),5.4,1,KE,Kenya,2003,KE2003DHS,ML_NETW_W_ITN,124863020,I,1000,0,Total,Total,0,,1,1,MLNETWWITN,,2003,DHS,647,637,,,
KEN,445060,Pregnant women who slept under insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,83.5,1,KE,Kenya,2003,KE2003DHS,ML_NETW_W_IT1,124863070,I,1000,0,Total,Total,0,,1,1,MLNETWWIT1,,2003,DHS,42,48,,,
KEN,171509,SP/Fansidar 3+ doses during pregnancy,3.1,1,KE,Kenya,2003,KE2003DHS,ML_IPTP_W_3SP,124903025,I,1000,0,Total,Total,0,,1,1,MLIPTPW3SP,,2003,DHS,2416,2357,,,
KEN,171501,"SP/Fansidar 2+ doses, at least one during ANC visit",4.5,1,KE,Kenya,2003,KE2003DHS,ML_IPTP_W_2SA,124903040,I,1000,0,Total,Total,0,,1,1,MLIPTPW2SA,,2003,DHS,2416,2357,,,
KEN,334255,Children with fever for whom advice or treatment was sought,67.8,1,KE,Kenya,2003,KE2003DHS,ML_FEVT_C_ADV,124966010,I,1000,0,Total,Total,0,,1,1,MLFEVTCADV,,2003,DHS,2255,2215,,,
KEN,248183,Households with at least one insecticide-treated mosquito net (ITN),55.7,1,KE,Kenya,2008,KE2008DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2008-09,DHS,9057,9057,,,
KEN,453555,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,27.1,1,KE,Kenya,2008,KE2008DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2008-09,DHS,9027,9023,,,
KEN,542105,Persons with access to an insecticide-treated mosquito net (ITN),42.3,1,KE,Kenya,2008,KE2008DHS,ML_ITNA_P_ACC,124732130,I,1000,0,Total,Total,0,,1,1,MLITNAPACC,,2008-09,DHS,38019,37790,,,
KEN,522657,Population who slept under an insecticide-treated mosquito net (ITN) last night,35.1,1,KE,Kenya,2008,KE2008DHS,ML_NETU_P_ITN,124762020,I,1000,0,Total,Total,0,,1,1,MLNETUPITN,,2008-09,DHS,38019,37790,,,
KEN,467811,Children under 5 who slept under an insecticide-treated net (ITN),46.7,1,KE,Kenya,2008,KE2008DHS,ML_NETC_C_ITN,124836020,I,1000,0,Total,Total,0,,1,1,MLNETCCITN,,2008-09,DHS,5953,6098,,,
KEN,723634,Children under 5 who slept under an insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,68.6,1,KE,Kenya,2008,KE2008DHS,ML_NETC_C_IT1,124836070,I,1000,0,Total,Total,0,,1,1,MLNETCCIT1,,2008-09,DHS,4051,4313,,,
KEN,567710,Pregnant women who slept under an insecticide-treated net (ITN),49,1,KE,Kenya,2008,KE2008DHS,ML_NETW_W_ITN,124863020,I,1000,0,Total,Total,0,,1,1,MLNETWWITN,,2008-09,DHS,601,622,,,
KEN,613034,Pregnant women who slept under insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,76.5,1,KE,Kenya,2008,KE2008DHS,ML_NETW_W_IT1,124863070,I,1000,0,Total,Total,0,,1,1,MLNETWWIT1,,2008-09,DHS,385,433,,,
