ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,516014,Children exclusively breastfed,23,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1989,DHS,672,671,,,
KEN,516013,Children currently breastfeeding,98.3,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1989,DHS,672,671,,,
KEN,622315,Children stunted,39.9,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1993,DHS,4757,4829,,,
KEN,720922,Children wasted,6.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1993,DHS,4757,4829,,,
KEN,720923,Children overweight,5.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1993,DHS,4757,4829,,,
KEN,662750,Children exclusively breastfed,17,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1993,DHS,514,518,,,
KEN,662756,Children currently breastfeeding,98.4,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1993,DHS,514,518,,,
KEN,480074,Women who are thin according to BMI (<18.5),10,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,1993,DHS,3242,3226,,,
KEN,480078,Women who are overweight or obese according to BMI (>=25.0),14.3,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,1993,DHS,3242,3226,,,
KEN,620256,Children stunted,37.7,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1998,DHS,4433,4539,,,
KEN,53403,Children wasted,6.9,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1998,DHS,4433,4539,,,
