ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,734208,Recent sexual activity: Active in last 4 weeks,50.1,1,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_4WK,51733010,I,1000,0,Total,Total,0,,1,1,SXLSEXW4WK,,1989,DHS,7150,7150,,,
KEN,734209,Recent sexual activity [Women]: Within the last year,20.6,1,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_1YR,51733020,I,1000,0,Total,Total,0,,1,1,SXLSEXW1YR,,1989,DHS,7150,7150,,,
KEN,734210,Recent sexual activity [Women]: One or more years ago,4.3,1,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_1PY,51733030,I,1000,0,Total,Total,0,,1,1,SXLSEXW1PY,,1989,DHS,7150,7150,,,
KEN,734212,Recent sexual activity [Women]: Missing,12.4,1,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_MIS,51733040,S,1000,0,Total,Total,0,,1,1,SXLSEXWMIS,,1989,DHS,7150,7150,,,
KEN,734213,Recent sexual activity: Never had sex,12.6,1,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_NSX,51733050,I,1000,0,Total,Total,0,,1,1,SXLSEXWNSX,,1989,DHS,7150,7150,,,
KEN,734211,Women: Total,100,1,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_TOT,51733060,T,1000,0,Total,Total,0,,1,1,SXLSEXWTOT,,1989,DHS,7150,7150,,,
KEN,735653,Number of women,7150,0,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_NUM,51733070,D,1000,0,Total,Total,0,,1,1,SXLSEXWNUM,,1989,DHS,,7150,,,
KEN,219650,Number of women (unweighted),7150,0,KE,Kenya,1989,KE1989DHS,SX_LSEX_W_UNW,51733080,U,1000,0,Total,Total,0,,1,1,SXLSEXWUNW,,1989,DHS,7150,,,,
KEN,630659,First sexual intercourse by exact age 15 [Women],22.4,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_B15,51663010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB15,,1993,DHS,4148,4147,,,
KEN,630655,First sexual intercourse by exact age 18 [Women],62.6,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_B18,51663020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB18,,1993,DHS,4148,4147,,,
KEN,630662,First sexual intercourse by exact age 20 [Women],78.3,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_B20,51663030,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB20,,1993,DHS,4148,4147,,,
KEN,630656,First sexual intercourse by exact age 22 [Women],86.6,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_B22,51663040,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB22,,1993,DHS,4148,4147,,,
KEN,630657,First sexual intercourse by exact age 25 [Women],89.8,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_B25,51663050,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB25,,1993,DHS,4148,4147,,,
KEN,630658,Never had sexual intercourse [Women],0.5,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_NSX,51663060,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWNSX,,1993,DHS,4148,4147,,,
KEN,640648,Number of women,4148,0,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_NUM,51663070,D,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWNUM,,1993,DHS,,4147,,,
KEN,314569,Number of women (unweighted),4147,0,KE,Kenya,1993,KE1993DHS,SX_SBAG_W_UNW,51663080,U,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWUNW,,1993,DHS,4148,,,,
KEN,562487,First sexual intercourse by exact age 15 [Men],23.2,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_B15,51664100,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB15,,1993,DHS,1645,1644,,,
KEN,562486,First sexual intercourse by exact age 18 [Men],62.8,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_B18,51664110,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB18,,1993,DHS,1645,1644,,,
KEN,562474,First sexual intercourse by exact age 20 [Men],85.5,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_B20,51664120,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB20,,1993,DHS,1645,1644,,,
KEN,562483,First sexual intercourse by exact age 22 [Men],92.8,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_B22,51664130,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB22,,1993,DHS,1645,1644,,,
KEN,562484,First sexual intercourse by exact age 25 [Men],96.5,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_B25,51664140,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB25,,1993,DHS,1645,1644,,,
KEN,562485,Never had sexual intercourse [Men],0.3,1,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_NSX,51664150,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMNSX,,1993,DHS,1645,1644,,,
KEN,573894,Number of men,1645,0,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_NUM,51664160,D,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMNUM,,1993,DHS,,1644,,,
KEN,332198,Number of men (unweighted),1644,0,KE,Kenya,1993,KE1993DHS,SX_SBAG_M_UNW,51664170,U,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMUNW,,1993,DHS,1645,,,,
KEN,62408,Median age at first sexual intercourse [Women]: 20-24,17.4,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M20,51703020,I,1000,0,Total,Total,0,,1,1,SXAAFSWM20,,1993,DHS,,,,,
KEN,62409,Median age at first sexual intercourse [Women]: 25-29,17.2,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M25,51703030,I,1000,0,Total,Total,0,,1,1,SXAAFSWM25,,1993,DHS,,,,,
KEN,62410,Median age at first sexual intercourse [Women]: 30-34,16.7,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M30,51703040,I,1000,0,Total,Total,0,,1,1,SXAAFSWM30,,1993,DHS,,,,,
KEN,62411,Median age at first sexual intercourse [Women]: 35-39,16.5,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M35,51703050,I,1000,0,Total,Total,0,,1,1,SXAAFSWM35,,1993,DHS,,,,,
KEN,62412,Median age at first sexual intercourse [Women]: 40-44,16.4,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M40,51703060,I,1000,0,Total,Total,0,,1,1,SXAAFSWM40,,1993,DHS,,,,,
KEN,62403,Median age at first sexual intercourse [Women]: 45-49,16.9,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M45,51703070,I,1000,0,Total,Total,0,,1,1,SXAAFSWM45,,1993,DHS,,,,,
KEN,62400,Median age at first sexual intercourse [Women]: 20-49,16.9,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M2A,51703080,I,1000,0,Total,Total,0,,1,1,SXAAFSWM2A,,1993,DHS,,,,,
KEN,62404,Median age at first sexual intercourse [Women]: 25-49,16.8,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,,1,1,SXAAFSWM2B,,1993,DHS,,,,,
KEN,62401,Median age at first sexual intercourse [Men]: 20-24,16.3,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M20,51704100,I,1000,0,Total,Total,0,,1,1,SXAAFSMM20,,1993,DHS,,,,,
KEN,62396,Median age at first sexual intercourse [Men]: 25-29,16.4,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M25,51704110,I,1000,0,Total,Total,0,,1,1,SXAAFSMM25,,1993,DHS,,,,,
KEN,62397,Median age at first sexual intercourse [Men]: 30-34,17,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M30,51704120,I,1000,0,Total,Total,0,,1,1,SXAAFSMM30,,1993,DHS,,,,,
KEN,62398,Median age at first sexual intercourse [Men]: 35-39,16.8,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M35,51704130,I,1000,0,Total,Total,0,,1,1,SXAAFSMM35,,1993,DHS,,,,,
KEN,62399,Median age at first sexual intercourse [Men]: 40-44,17.3,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M40,51704140,I,1000,0,Total,Total,0,,1,1,SXAAFSMM40,,1993,DHS,,,,,
KEN,62402,Median age at first sexual intercourse [Men]: 45-49,17.1,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M45,51704150,I,1000,0,Total,Total,0,,1,1,SXAAFSMM45,,1993,DHS,,,,,
KEN,62405,Median age at first sexual intercourse [Men]: 50-54,18,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M50,51704160,I,1000,0,Total,Total,0,,1,1,SXAAFSMM50,,1993,DHS,,,,,
KEN,62407,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.7,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M2A,51704170,I,1000,0,Total,Total,0,,1,1,SXAAFSMM2A,,1993,DHS,,,,,
KEN,62406,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.9,1,KE,Kenya,1993,KE1993DHS,SX_AAFS_M_M2B,51704180,I,1000,0,Total,Total,0,,1,1,SXAAFSMM2B,,1993,DHS,,,,,
KEN,485580,Recent sexual activity: Active in last 4 weeks,49.6,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_4WK,51733010,I,1000,0,Total,Total,0,,1,1,SXLSEXW4WK,,1993,DHS,7540,7540,,,
KEN,485566,Recent sexual activity [Women]: Within the last year,24.3,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_1YR,51733020,I,1000,0,Total,Total,0,,1,1,SXLSEXW1YR,,1993,DHS,7540,7540,,,
KEN,485567,Recent sexual activity [Women]: One or more years ago,6.7,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_1PY,51733030,I,1000,0,Total,Total,0,,1,1,SXLSEXW1PY,,1993,DHS,7540,7540,,,
KEN,485568,Recent sexual activity [Women]: Missing,4.3,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_MIS,51733040,S,1000,0,Total,Total,0,,1,1,SXLSEXWMIS,,1993,DHS,7540,7540,,,
KEN,485579,Recent sexual activity: Never had sex,15.1,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_NSX,51733050,I,1000,0,Total,Total,0,,1,1,SXLSEXWNSX,,1993,DHS,7540,7540,,,
KEN,485569,Women: Total,100,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_TOT,51733060,T,1000,0,Total,Total,0,,1,1,SXLSEXWTOT,,1993,DHS,7540,7540,,,
KEN,496962,Number of women,7540,0,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_NUM,51733070,D,1000,0,Total,Total,0,,1,1,SXLSEXWNUM,,1993,DHS,,7540,,,
KEN,263296,Number of women (unweighted),7540,0,KE,Kenya,1993,KE1993DHS,SX_LSEX_W_UNW,51733080,U,1000,0,Total,Total,0,,1,1,SXLSEXWUNW,,1993,DHS,7540,,,,
KEN,498815,Recent sexual activity [Men]: Active 4 Weeks,70.5,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_4WK,51734090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXM4WK,,1993,DHS,2171,2170,,,
KEN,498811,Recent sexual activity [Men]: Within the last year,24.4,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_1YR,51734100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXM1YR,,1993,DHS,2171,2170,,,
KEN,498812,Recent sexual activity [Men]: One or more years ago,2.8,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_1PY,51734110,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXM1PY,,1993,DHS,2171,2170,,,
KEN,498813,Recent sexual activity [Men]: Missing,0.7,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_MIS,51734120,S,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXMMIS,,1993,DHS,2171,2170,,,
KEN,498814,Recent sexual activity [Men]: Never had sex,1.6,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_NSX,51734130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXMNSX,,1993,DHS,2171,2170,,,
KEN,498826,Men: Total,100,1,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_TOT,51734140,T,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXMTOT,,1993,DHS,2171,2170,,,
KEN,503303,Number of men,2171,0,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_NUM,51734150,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXMNUM,,1993,DHS,,2170,,,
KEN,213793,Number of men (unweighted),2170,0,KE,Kenya,1993,KE1993DHS,SX_LSEX_M_UNW,51734160,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,SXLSEXMUNW,,1993,DHS,2171,,,,
KEN,62604,First sexual intercourse by exact age 15 [Women],25.8,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_B15,51663010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB15,,1998,DHS,4482,4487,,,
KEN,62599,First sexual intercourse by exact age 18 [Women],66.6,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_B18,51663020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB18,,1998,DHS,4482,4487,,,
KEN,62605,First sexual intercourse by exact age 20 [Women],82.5,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_B20,51663030,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB20,,1998,DHS,4482,4487,,,
KEN,62601,First sexual intercourse by exact age 22 [Women],89.8,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_B22,51663040,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB22,,1998,DHS,4482,4487,,,
KEN,62602,First sexual intercourse by exact age 25 [Women],93.1,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_B25,51663050,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWB25,,1998,DHS,4482,4487,,,
KEN,62603,Never had sexual intercourse [Women],0.6,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_NSX,51663060,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWNSX,,1998,DHS,4482,4487,,,
KEN,62606,Number of women,4482,0,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_NUM,51663070,D,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWNUM,,1998,DHS,,4487,,,
KEN,62618,Number of women (unweighted),4487,0,KE,Kenya,1998,KE1998DHS,SX_SBAG_W_UNW,51663080,U,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGWUNW,,1998,DHS,4482,,,,
KEN,472318,First sexual intercourse by exact age 15 [Men],24.3,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_B15,51664100,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB15,,1998,DHS,1824,1804,,,
KEN,472319,First sexual intercourse by exact age 18 [Men],63.1,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_B18,51664110,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB18,,1998,DHS,1824,1804,,,
KEN,472307,First sexual intercourse by exact age 20 [Men],79.4,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_B20,51664120,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB20,,1998,DHS,1824,1804,,,
KEN,472310,First sexual intercourse by exact age 22 [Men],87.5,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_B22,51664130,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB22,,1998,DHS,1824,1804,,,
KEN,472311,First sexual intercourse by exact age 25 [Men],90,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_B25,51664140,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMB25,,1998,DHS,1824,1804,,,
KEN,472317,Never had sexual intercourse [Men],0.6,1,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_NSX,51664150,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMNSX,,1998,DHS,1824,1804,,,
KEN,472320,Number of men,1824,0,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_NUM,51664160,D,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMNUM,,1998,DHS,,1804,,,
KEN,62619,Number of men (unweighted),1804,0,KE,Kenya,1998,KE1998DHS,SX_SBAG_M_UNW,51664170,U,12001,12001,Total 25-49,Total 25-49,0,,1,1,SXSBAGMUNW,,1998,DHS,1824,,,,
KEN,62633,Median age at first sexual intercourse [Women]: 20-24,17.3,1,KE,Kenya,1998,KE1998DHS,SX_AAFS_W_M20,51703020,I,1000,0,Total,Total,0,,1,1,SXAAFSWM20,,1998,DHS,,,,,
KEN,62634,Median age at first sexual intercourse [Women]: 25-29,16.8,1,KE,Kenya,1998,KE1998DHS,SX_AAFS_W_M25,51703030,I,1000,0,Total,Total,0,,1,1,SXAAFSWM25,,1998,DHS,,,,,
KEN,62635,Median age at first sexual intercourse [Women]: 30-34,16.7,1,KE,Kenya,1998,KE1998DHS,SX_AAFS_W_M30,51703040,I,1000,0,Total,Total,0,,1,1,SXAAFSWM30,,1998,DHS,,,,,
KEN,62636,Median age at first sexual intercourse [Women]: 35-39,16.3,1,KE,Kenya,1998,KE1998DHS,SX_AAFS_W_M35,51703050,I,1000,0,Total,Total,0,,1,1,SXAAFSWM35,,1998,DHS,,,,,
KEN,62637,Median age at first sexual intercourse [Women]: 40-44,16.2,1,KE,Kenya,1998,KE1998DHS,SX_AAFS_W_M40,51703060,I,1000,0,Total,Total,0,,1,1,SXAAFSWM40,,1998,DHS,,,,,
KEN,62625,Median age at first sexual intercourse [Women]: 45-49,16.1,1,KE,Kenya,1998,KE1998DHS,SX_AAFS_W_M45,51703070,I,1000,0,Total,Total,0,,1,1,SXAAFSWM45,,1998,DHS,,,,,
