ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,499887,Children with symptoms of ARI,21,1,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCARI,,1993,DHS,3364,3370,,,
KEN,298905,Children with symptoms of ARI,18.2,1,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCARI,,1993,DHS,5650,5642,,,
KEN,502187,Number of children born in the last five (or three) years,3364,0,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNUM,,1993,DHS,,3370,,,
KEN,149748,Number of children born in the last five (or three) years,5650,0,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNUM,,1993,DHS,,5642,,,
KEN,199197,Number of children born in the last five (or three) years (unweighted),3370,0,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUNW,,1993,DHS,3364,,,,
KEN,298907,Number of children born in the last five (or three) years (unweighted),5642,0,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCUNW,,1993,DHS,5650,,,,
KEN,743828,Children with ARI for whom advice or treatment was sought,72.3,1,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCADV,,1993,DHS,705,687,,,
KEN,366332,Children with ARI for whom advice or treatment was sought,71.2,1,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCADV,,1993,DHS,1027,1007,,,
KEN,744951,Number of children with symptoms of ARI born in the last five (or three) years,705,0,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNM2,,1993,DHS,,687,,,
KEN,149736,Number of children with symptoms of ARI born in the last five (or three) years,1027,0,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNM2,,1993,DHS,,1007,,,
KEN,216878,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),687,0,KE,Kenya,1993,KE1993DHS,CH_ARIS_C_UN2,93966070,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUN2,,1993,DHS,705,,,,
