ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,711927,Women who smoke cigarettes,0.7,1,KE,Kenya,2003,KE2003DHS,AH_TOBC_W_CIG,151433010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCWCIG,,2003,DHS,8195,8195,,,
KEN,711925,Women who smoke pipe,0,1,KE,Kenya,2003,KE2003DHS,AH_TOBC_W_PIP,151433020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCWPIP,,2003,DHS,8195,8195,,,
KEN,711926,Women who do not smoke,97.5,1,KE,Kenya,2003,KE2003DHS,AH_TOBC_W_NON,151433040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCWNON,,2003,DHS,8195,8195,,,
KEN,715794,Number of women,8195,0,KE,Kenya,2003,KE2003DHS,AH_TOBC_W_NUM,151433050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCWNUM,,2003,DHS,,8195,,,
KEN,316881,Number of women (unweighted),8195,0,KE,Kenya,2003,KE2003DHS,AH_TOBC_W_UNW,151433060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCWUNW,,2003,DHS,8195,,,,
KEN,512159,Men who smoke cigarettes,22.6,1,KE,Kenya,2003,KE2003DHS,AH_TOBC_M_CIG,151434010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCMCIG,,2003,DHS,3363,3348,,,
KEN,512160,Men who smoke pipe,0.1,1,KE,Kenya,2003,KE2003DHS,AH_TOBC_M_PIP,151434020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCMPIP,,2003,DHS,3363,3348,,,
KEN,512161,Men who do not smoke,75.7,1,KE,Kenya,2003,KE2003DHS,AH_TOBC_M_NON,151434040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCMNON,,2003,DHS,3363,3348,,,
KEN,525302,Number of men,3363,0,KE,Kenya,2003,KE2003DHS,AH_TOBC_M_NUM,151434050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCMNUM,,2003,DHS,,3348,,,
KEN,315451,Number of men (unweighted),3348,0,KE,Kenya,2003,KE2003DHS,AH_TOBC_M_UNW,151434060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHTOBCMUNW,,2003,DHS,3363,,,,
KEN,456851,Cigarettes smoked: don't know or missing,7.5,1,KE,Kenya,2003,KE2003DHS,AH_CIGA_W_DKM,151463060,S,1000,0,Total,Total,0,,1,1,AHCIGAWDKM,,2003,DHS,53,55,,,
